task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed
91,pc_scores,split_003,lolo,P(Ph)3,0,3,,2688,384,42
92,pc_scores,split_004,lolo,P(o-Tol)3,0,4,,2688,384,42
93,pc_scores,split_005,lolo,P(tBu)3,0,5,,2688,384,42
94,pc_scores,split_006,lolo,SPhos,0,6,,2688,384,42
95,pc_scores,split_007,lolo,XPhos,0,7,,2688,384,42
96,pc_scores,split_008,iid_matched,,0,0,2110739950.0,2688,384,42
97,pc_scores,split_009,iid_matched,,0,1,2110739950.0,2688,384,42
98,pc_scores,split_010,iid_matched,,0,2,2110739950.0,2688,384,42
99,pc_scores,split_011,iid_matched,,0,3,2110739950.0,2688,384,42
100,pc_scores,split_012,iid_matched,,0,4,2110739950.0,2688,384,42
101,pc_scores,split_013,iid_matched,,0,5,2110739950.0,2688,384,42
102,pc_scores,split_014,iid_matched,,0,6,2110739950.0,2688,384,42
103,pc_scores,split_015,iid_matched,,0,7,2110739950.0,2688,384,42
104,pc_scores,split_016,kfold,,0,0,42.0,2457,615,42
105,pc_scores,split_017,kfold,,0,1,42.0,2457,615,42
106,pc_scores,split_018,kfold,,0,2,42.0,2458,614,42
107,pc_scores,split_019,kfold,,0,3,42.0,2458,614,42
108,pc_scores,split_020,kfold,,0,4,42.0,2458,614,42
109,pc_scores,split_021,holdout,,0,0,42.0,2457,615,42
