model,method,n_folds,device,run_time_sec,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,nll_mean,nll_std,ece_mean,ece_std,cdf_ama_mean,cdf_ama_std,cvpp_ama_mean,cvpp_ama_std,Cv_mean,Cv_std,sharpness_mean,sharpness_std,RUSC_mean,RUSC_std,n,pooled_r2,pooled_rmse,pooled_mae
ligand_ohe,iid_stratified_8,8,cuda,153.188,0.9086413798186039,0.00903522526902746,9.077503361009157,0.47482280070353733,6.658167723069588,0.34647677067911675,3.891326780188414,0.012407210718726509,0.10716145833333335,0.006926789624099165,0.12065283460863022,0.032674710969705714,0.21686197916666666,0.013969610665780964,0.01832082832697779,0.0023176984507004457,16.90345335006714,0.10441813020199582,-0.0035972047163772124,0.03440373823006399,3072,0.9087727233744303,9.08991330878356,6.658167723069589
ligand_ohe,kfold_stratified_5,5,cuda,99.127,0.9052515436941613,0.007942950358744837,9.249884046798341,0.3435934334458428,6.856003148515612,0.30355165494109587,3.8985783347788336,0.00728059769132381,0.1038405232912264,0.006106137906559793,0.10530800618357927,0.005328602808986097,0.20948408852166694,0.013428760355863097,0.016612324491143228,0.0011632365173555653,16.951530838012694,0.10085632824779008,-0.017711301477320748,0.017875212398204693,3072,0.9054014689771119,9.2563460512769,6.8560268912464375
ligand_ohe,lolo,8,cuda,157.175,0.5859052065582842,0.18658355850773348,18.33059582112821,3.268576440218171,13.337623118882377,2.279235808292178,4.407096090167325,0.28647589490904934,0.08463541666666667,0.05006087602703082,0.08521673270503097,0.04711492339218718,0.05177083333333335,0.018218645690757655,0.020677912048995495,0.001131010942786591,14.908090949058533,0.21343827625141787,0.06317951326869527,0.11043772270622239,3072,0.6172175895016307,18.61972972690829,13.337623118882377
pc_scores,iid_stratified_8,8,cuda,153.809,0.9068118956343055,0.008312579687359292,9.170116450092463,0.41304406319662185,6.770463091333706,0.24772182267157808,3.935404530768424,0.010565538725045136,0.11009114583333335,0.00461597264991619,0.11142959549887316,0.005605276222163052,0.22417534722222224,0.009391462526331447,0.03893188573420048,0.0010994508244605845,17.887020587921143,0.09040734107325915,-0.04206757464141603,0.06016807661061836,3072,0.9069674037631367,9.17941398491202,6.770463091333707
pc_scores,kfold_stratified_5,5,cuda,99.822,0.9035486260164495,0.007487563974283321,9.333704126909126,0.31060838102931504,6.896031485563723,0.27051112007696665,3.9389877994596203,0.005329489911269897,0.1086893355578507,0.005452211623683097,0.11050624547787116,0.00564768437949837,0.2202315086994518,0.012105116639012278,0.04075616970658302,0.0008458731405391883,17.87138442993164,0.11367513891552229,-0.026239233732561186,0.019046570253423073,3072,0.9037090401373268,9.33877999231372,6.8959262456496555
pc_scores,lolo,8,cuda,158.919,0.41610480092094376,0.30047142254743786,21.754823733138995,5.76400082026488,18.898021697103978,5.993783472577752,4.5738314886256575,0.1974678886844836,0.0891796875,0.02846841066067273,0.0815202000278473,0.028121738295304417,0.11867187500000001,0.046666055503758824,0.0038129442452286,0.004686245845673331,29.914963960647583,3.847829701782738,,,3072,0.44078179666756034,22.505467360531792,18.898021697103975
pc_top,iid_stratified_8,8,cuda,160.333,0.8919328813837412,0.007811302253015535,9.878823019761807,0.35895320646357154,7.36631786758701,0.21880703127621948,4.0408608944914555,0.007769543961380301,0.11347656250000002,0.00369835219706349,0.11082840552908263,0.009944453801234878,0.2318576388888889,0.008166299247982553,0.03956563817337155,0.0022353791858913613,20.11962866783142,0.07547770694634717,0.007970069494548603,0.03855435812133737,3072,0.8921081477998499,9.885342263179675,7.366317867587011
pc_top,kfold_stratified_5,5,cuda,98.956,0.8889092714392784,0.008107717014961172,10.017663123941436,0.2973738119116435,7.467968195035124,0.25579956857623226,4.043163943368622,0.004644931825985184,0.11044781653028257,0.004357739224698311,0.11440588136893041,0.0023226635978195694,0.22863100376932105,0.009286282298423794,0.03954778611660004,0.0023914055828514655,20.094100952148438,0.0898962097309201,0.03193238039534897,0.03154963139147768,3072,0.8891053832236712,10.021958924941083,7.467858137711883
pc_top,lolo,8,cuda,154.134,0.3993815631744011,0.20233260215709373,22.52952329870705,3.8214205038754145,19.377027912760774,4.1210437368523705,4.6520476074496555,0.1130899133323922,0.09261718749999999,0.039239829698340625,0.08052181227127397,0.03861521565054644,0.11569878472222223,0.03269553086715578,0.0033411445406272833,0.0034049112206941006,33.36449146270752,2.347690498682275,0.06999880736551575,0.10082178334898399,3072,0.42346233348208495,22.851316695858543,19.377027912760777
selected_2,iid_stratified_8,8,cuda,154.951,0.8836942850799558,0.017027582126000706,10.22733773734057,0.7839711227431448,7.442826258415978,0.49272257790920176,3.995529625214341,0.020964735582859637,0.10520833333333333,0.00900981452708656,0.10791151848035627,0.008478491571771796,0.21435546875,0.016949989926162142,0.050405762158334255,0.0021727767451040353,18.622668743133545,0.18736620325888095,-0.012573565876029974,0.032949131701841564,3072,0.8838351250106881,10.257341171810834,7.442826258415977
