kraken_id,vmin_vmin_boltz,vmin_r_boltz,fmo_e_homo_boltz,fmo_e_lumo_boltz,fmo_mu_boltz,fmo_eta_boltz,fmo_omega_boltz,somo_ra_boltz,somo_rc_boltz,nbo_P_boltz,nbo_P_ra_boltz,spindens_P_ra_boltz,nbo_P_rc_boltz,spindens_P_rc_boltz,nmr_P_boltz,nmrtens_sxx_P_boltz,nmrtens_syy_P_boltz,nmrtens_szz_P_boltz,efg_amp_P_boltz,efgtens_xx_P_boltz,efgtens_yy_P_boltz,efgtens_zz_P_boltz,nuesp_P_boltz,E_solv_cds_boltz,nbo_lp_P_percent_s_boltz,nbo_lp_P_occ_boltz,nbo_lp_P_e_boltz,nbo_bd_e_max_boltz,nbo_bd_e_avg_boltz,nbo_bds_e_min_boltz,nbo_bds_e_avg_boltz,nbo_bd_occ_min_boltz,nbo_bd_occ_avg_boltz,nbo_bds_occ_max_boltz,nbo_bds_occ_avg_boltz,E_solv_total_boltz,E_solv_elstat_boltz,E_oxidation_boltz,E_reduction_boltz,fukui_p_boltz,fukui_m_boltz,vbur_vtot_boltz,vbur_ratio_vbur_vtot_boltz,Pint_P_int_boltz,Pint_dP_boltz,Pint_P_min_boltz,Pint_P_max_boltz,volume_boltz,surface_area_boltz,sphericity_boltz,dipolemoment_boltz,dipolemoment_min,dipolemoment_max,dipolemoment_delta,dipolemoment_vburminconf,qpole_amp_boltz,qpole_amp_min,qpole_amp_max,qpole_amp_delta,qpole_amp_vburminconf,qpoletens_xx_boltz,qpoletens_xx_min,qpoletens_xx_max,qpoletens_xx_delta,qpoletens_xx_vburminconf,qpoletens_yy_boltz,qpoletens_yy_min,qpoletens_yy_max,qpoletens_yy_delta,qpoletens_yy_vburminconf,qpoletens_zz_boltz,qpoletens_zz_min,qpoletens_zz_max,qpoletens_zz_delta,qpoletens_zz_vburminconf,pyr_P_boltz,pyr_P_min,pyr_P_max,pyr_P_delta,pyr_P_vburminconf,pyr_alpha_boltz,pyr_alpha_min,pyr_alpha_max,pyr_alpha_delta,pyr_alpha_vburminconf,vbur_vbur_boltz,vbur_vbur_min,vbur_vbur_max,vbur_vbur_delta,vbur_vbur_vburminconf,vbur_qvbur_min_boltz,vbur_qvbur_min_min,vbur_qvbur_min_max,vbur_qvbur_min_delta,vbur_qvbur_min_vburminconf,vbur_qvbur_max_boltz,vbur_qvbur_max_min,vbur_qvbur_max_max,vbur_qvbur_max_delta,vbur_qvbur_max_vburminconf,vbur_qvtot_min_boltz,vbur_qvtot_min_min,vbur_qvtot_min_max,vbur_qvtot_min_delta,vbur_qvtot_min_vburminconf,vbur_qvtot_max_boltz,vbur_qvtot_max_min,vbur_qvtot_max_max,vbur_qvtot_max_delta,vbur_qvtot_max_vburminconf,vbur_max_delta_qvbur_boltz,vbur_max_delta_qvbur_min,vbur_max_delta_qvbur_max,vbur_max_delta_qvbur_delta,vbur_max_delta_qvbur_vburminconf,vbur_max_delta_qvtot_boltz,vbur_max_delta_qvtot_min,vbur_max_delta_qvtot_max,vbur_max_delta_qvtot_delta,vbur_max_delta_qvtot_vburminconf,vbur_ovbur_min_boltz,vbur_ovbur_min_min,vbur_ovbur_min_max,vbur_ovbur_min_delta,vbur_ovbur_min_vburminconf,vbur_ovbur_max_boltz,vbur_ovbur_max_min,vbur_ovbur_max_max,vbur_ovbur_max_delta,vbur_ovbur_max_vburminconf,vbur_ovtot_min_boltz,vbur_ovtot_min_min,vbur_ovtot_min_max,vbur_ovtot_min_delta,vbur_ovtot_min_vburminconf,vbur_ovtot_max_boltz,vbur_ovtot_max_min,vbur_ovtot_max_max,vbur_ovtot_max_delta,vbur_ovtot_max_vburminconf,vbur_near_vbur_boltz,vbur_near_vbur_min,vbur_near_vbur_max,vbur_near_vbur_delta,vbur_near_vbur_vburminconf,vbur_far_vbur_boltz,vbur_far_vbur_min,vbur_far_vbur_max,vbur_far_vbur_delta,vbur_far_vbur_vburminconf,vbur_near_vtot_boltz,vbur_near_vtot_min,vbur_near_vtot_max,vbur_near_vtot_delta,vbur_near_vtot_vburminconf,vbur_far_vtot_boltz,vbur_far_vtot_min,vbur_far_vtot_max,vbur_far_vtot_delta,vbur_far_vtot_vburminconf,sterimol_B1_boltz,sterimol_B1_min,sterimol_B1_max,sterimol_B1_delta,sterimol_B1_vburminconf,sterimol_B5_boltz,sterimol_B5_min,sterimol_B5_max,sterimol_B5_delta,sterimol_B5_vburminconf,sterimol_L_boltz,sterimol_L_min,sterimol_L_max,sterimol_L_delta,sterimol_L_vburminconf,sterimol_burB1_boltz,sterimol_burB1_min,sterimol_burB1_max,sterimol_burB1_delta,sterimol_burB1_vburminconf,sterimol_burB5_boltz,sterimol_burB5_min,sterimol_burB5_max,sterimol_burB5_delta,sterimol_burB5_vburminconf,sterimol_burL_boltz,sterimol_burL_min,sterimol_burL_max,sterimol_burL_delta,sterimol_burL_vburminconf,vbur_pct_boltz,vbur_pct_min,vbur_pct_delta,homo_lumo_gap_eV,PC1,PC2,PC3,PC4
1,-0.061653832,1.819048482,-0.218243366,-0.025112319,-0.121677842,0.193131047,0.03833597,0.059115319,-0.363711578,0.801913877,0.762848685,0.039934438,1.16565782,0.466770835,306.7602335,286.0477335,304.9629317,329.2700282,1.750654742,-0.824412029,-0.599056362,1.42346838,-54.19681131,-11.7800896,51.27024712,1.927054025,-0.300539214,-0.439428738,-0.448304251,0.203063797,0.213486864,1.947840386,1.953640612,0.03943933,0.034855828,-18.90894535,-7.128855756,0.260081699,0.017364495,0.039065191,0.363743943,560.3636918,0.188389593,20.67366182,5.018495509,12.78666587,42.08441375,687.0055722,534.2836334,0.704737109,1.258121923,0.968893635,1.512403854,0.543510219,1.358751213,4.457962031,3.208771286,6.865921008,3.657149722,5.925214444,3.470276292,2.596043347,4.872843601,2.276800254,4.206576524,-0.794078773,-1.424726374,0.709004155,2.13373053,-0.033839406,-2.676197519,-4.913980006,-1.603841378,3.310138629,-4.172737118,0.925709479,0.841070382,0.952596145,0.111525763,0.899423076,18.81426145,14.92194508,27.88326723,12.96132215,22.14482622,105.5662868,56.45688734,127.9308737,71.47398637,56.45688734,14.13080251,9.989435355,18.90681844,8.917383084,10.86171984,41.2246802,16.52110992,44.21457336,27.69346344,17.40280755,69.46095831,46.82520534,86.56481345,39.73960811,64.28855956,237.9750003,210.8265026,267.6567497,56.83024717,257.1278963,23.52661595,2.762234192,26.82222486,24.05999067,6.541087709,137.5649393,109.3362163,201.979947,92.64373065,175.1233574,0.000662203,0.0,1.894133329,1.894133329,0.0,22.25250785,16.52110992,22.42314989,5.902039965,17.40280755,0.024899919,0.0,1.886762024,1.886762024,0.0,147.5000192,137.745785,253.5139824,115.7681974,253.5139824,70.69021306,56.45688734,79.67492477,23.21803742,56.45688734,34.87607373,0.0,48.25594895,48.25594895,0.0,418.6308424,398.155797,559.5005286,161.3447316,555.1293917,141.2808688,0.0,157.8201028,157.8201028,3.614927042,4.903718573,4.07060669,5.013689181,0.943082491,4.442682872,7.527389674,6.842619058,9.844823092,3.002204034,9.470359534,7.743234968,7.450735346,12.1316552,4.680919857,9.84520341,4.800335896,4.07060669,5.013689181,0.943082491,4.211190949,7.439480407,6.306577359,7.835474137,1.528896778,7.262693329,7.29157262,7.106518999,8.238802291,1.132283292,7.735548217,58.78039545682812,31.43577618102594,39.797451544961824,5.25536351600771,11.146998953760336,-0.5754109753714163,7.390383262573364,-4.352124812605873
4,-0.067318617,1.795292346,-0.211571453,-0.013801556,-0.112686505,0.197769897,0.03212394,0.070775341,-0.349016634,0.798225474,0.775998055,0.024510528,1.149662996,0.454445623,302.318425,277.9656959,300.0885737,328.9009566,1.742903314,-0.80615115,-0.61250406,1.418655466,-54.20453343,-10.87460587,51.48220784,1.929903964,-0.294566974,-0.429881918,-0.440285897,0.210560779,0.221012868,1.94704294,1.953686771,0.038905744,0.034756258,-19.79711894,-8.922513076,0.254630218,0.028764011,0.022227419,0.351437523,530.5419246,0.203210696,20.71540381,4.91418998,13.06386573,39.51760003,643.1623662,506.5767159,0.711352996,1.02723355,0.622020193,3.702454515,3.080434322,2.866487604,8.339470314,5.748110644,11.02760486,5.279494214,7.596125675,5.444573968,3.62919129,8.27802251,4.64883122,5.755576979,0.793009963,-2.515081554,1.800251331,4.315332884,-0.876398277,-6.237583931,-7.206549692,-2.755492333,4.451057358,-4.879178702,0.929775863,0.867741023,0.948103683,0.08036266,0.896717766,18.27515729,15.61540421,25.77452073,10.15911652,22.41217792,107.8093841,55.42771716,130.4776516,75.04993439,55.42771716,13.3353434,10.79687375,19.41721991,8.620346162,11.07403848,41.89328952,16.16236463,44.19888479,28.03652017,16.8087337,64.13680748,46.03527624,89.27035288,43.23507665,72.84002153,209.5210671,169.849296,256.0295879,86.18029189,210.9664129,23.95609403,2.075074834,27.60665336,25.53157852,5.734695221,119.2482325,83.55024583,176.22117,92.67092412,120.5558741,0.016911295,0.0,5.314241549,5.314241549,0.0,22.29181547,16.16236463,22.39595637,6.233591741,16.8087337,0.010147465,0.0,5.305009341,5.305009341,0.0,160.5501837,141.4484774,221.7235387,80.27506129,207.7004645,69.39718202,55.42771716,79.81089237,24.38317521,55.42771716,38.41220209,0.0,53.9969196,53.9969196,0.0,427.987766,410.7119381,530.8533459,120.1414078,526.2384163,100.4829192,0.0,119.5244053,119.5244053,3.346425615,4.713454053,3.924524379,5.085278433,1.160754054,4.377169262,8.613301128,7.34738027,8.913188997,1.565808727,7.978500612,7.794681659,7.257931393,11.39027318,4.132341783,10.86599459,4.619566002,3.924524379,4.979321842,1.054797463,4.377169262,7.238774196,6.369286715,7.81300987,1.443723155,7.653520001,7.338673943,6.99631868,8.333428437,1.337109757,7.483233412,60.02937512958994,30.862723627918854,41.78857622235895,5.381593055094879,10.698928465854042,0.2039297941280367,7.171457594178106,-4.241834033843999
8,-0.0671848,1.780165466,-0.21688,0.03601,-0.090435,0.25289,0.016170053,0.11399,-0.45613,0.74462,0.74009,0.01546,1.3783,0.81752,225.189,200.3439,200.864,274.359,1.7492288,-0.714163,-0.714077,1.428239,-54.196339,-3.32,50.14,1.93525,-0.29422,-0.43114,-0.431173333,0.17692,0.176943333,1.94458,1.94459,0.05246,0.052453333,-7.006582489,-3.686582489,0.2735087,0.0753715,0.00453,0.63368,253.2004251,0.257221064,17.76,2.54,13.45,25.87,317.84446,253.2069,0.889512,1.083267719,1.083267719,1.083267719,0.0,1.083267719,2.814976489,2.814976489,2.814976489,0.0,2.814976489,1.151961095,1.151961095,1.151961095,0.0,1.151961095,1.146455385,1.146455385,1.146455385,0.0,1.146455385,-2.298416481,-2.298416481,-2.298416481,0.0,-2.298416481,0.830704416,0.830704416,0.830704416,0.0,0.830704416,29.64695115,29.64695115,29.64695115,0.0,29.64695115,65.12848283,65.12848283,65.12848283,0.0,65.12848283,15.19908644,15.19908644,15.19908644,0.0,15.19908644,17.1225051,17.1225051,17.1225051,0.0,17.1225051,57.68427903,57.68427903,57.68427903,0.0,57.68427903,66.72568924,66.72568924,66.72568924,0.0,66.72568924,1.383731858,1.383731858,1.383731858,0.0,1.383731858,8.701615306,8.701615306,8.701615306,0.0,8.701615306,0.0,0.0,0.0,0.0,0.0,17.1225051,17.1225051,17.1225051,0.0,17.1225051,0.0,0.0,0.0,0.0,0.0,66.72568924,66.72568924,66.72568924,0.0,66.72568924,65.12848283,65.12848283,65.12848283,0.0,65.12848283,0.0,0.0,0.0,0.0,0.0,253.2004251,253.2004251,253.2004251,0.0,253.2004251,0.0,0.0,0.0,0.0,0.0,4.053254485,4.053254485,4.053254485,0.0,4.053254485,4.894739112,4.894739112,4.894739112,0.0,4.894739112,6.64891739,6.64891739,6.64891739,0.0,6.64891739,4.053254485,4.053254485,4.053254485,0.0,4.053254485,4.894739112,4.894739112,4.894739112,0.0,4.894739112,6.64891739,6.64891739,6.64891739,0.0,6.64891739,36.26420983721329,36.26420983721329,0.0,6.881487467746135,-6.091458887795018,-11.179053023746818,-0.0387029019379139,0.1004491024097873
90,-0.064408457,1.810216318,-0.217078277,-0.028907645,-0.122992961,0.188170633,0.040195659,0.057400103,-0.364024739,0.782719636,0.740602855,0.047494708,1.186653272,0.506759488,271.3192114,245.0808055,272.244164,296.6325819,1.817337362,-0.833482546,-0.646431524,1.479914646,-54.19499359,-8.215500756,50.17516704,1.923716493,-0.293411707,-0.431208445,-0.44329093,0.181330501,0.1985914,1.934873937,1.944335281,0.058918688,0.050213937,-15.39349888,-7.17799812,0.260328164,0.014536803,0.042116781,0.403933636,511.2593132,0.221601383,20.3025624,4.669336501,12.73000676,40.16590842,621.7007089,471.520607,0.747087257,1.119257421,0.911094763,1.185049967,0.273955204,0.911094763,4.582341647,4.272379079,4.759715726,0.487336648,4.599605274,3.583383945,3.309648251,3.705624252,0.395976001,3.70312568,-0.859928973,-1.30996395,-0.700212734,0.609751216,-1.30996395,-2.723454972,-2.867064843,-2.39316173,0.473903113,-2.39316173,0.865591665,0.856300269,0.865933925,0.009633657,0.86265934,25.97015926,25.932893,26.97541562,1.042522615,26.3613123,113.2957086,101.8805265,121.0205817,19.14005518,101.8805265,15.17582596,14.7190162,15.55783174,0.838815533,14.7190162,42.32947625,39.33124453,43.26593784,3.93469331,39.33124453,55.89064598,54.68993054,56.75084207,2.06091153,54.82834205,251.5964169,247.2541575,255.6717457,8.417588231,250.5994676,23.77316726,19.39734772,24.00874134,4.611393622,19.39734772,169.6441293,158.6728042,176.248505,17.57570074,176.248505,0.0,0.0,0.0,0.0,0.0,22.30232256,22.21710667,22.34470704,0.127600368,22.24952971,0.0,0.0,0.0,0.0,0.0,152.9576693,152.771251,163.1587774,10.38752639,158.3968936,76.32973878,75.04365896,76.77463116,1.730972203,75.40240426,36.96596982,26.47812223,44.28046536,17.80234312,26.47812223,359.956768,357.5834543,368.9197608,11.33630652,368.9197608,148.6895109,136.9641564,150.5713752,13.60721879,136.9641564,3.929625798,3.927323497,3.988085318,0.060761821,3.988085318,7.760101863,7.6664563,8.010692937,0.344236637,7.6664563,7.511755362,7.330421591,7.536993145,0.206571555,7.330421591,3.929625798,3.927323497,3.988085318,0.060761821,3.988085318,7.714487114,6.585468275,7.805641584,1.220173309,7.013850595,7.073571378,6.934689441,7.078593438,0.143903998,6.934689441,63.084217101302485,56.72812617124141,10.657379800403396,5.120383747502352,9.310977747863877,-11.242960932649446,1.772590851486421,8.074358953264486
216,-0.070188,1.780808887,-0.20568,-0.00859,-0.107135,0.19709,0.029118444,0.08871,-0.3671,0.76748,0.72101,0.06249,0.92637,0.19201,256.6556,230.0252,247.6644,292.277,1.755084638,-0.759908,-0.672218,1.432126,-54.203681,-5.17,48.6,1.93013,-0.28339,-0.42485,-0.438373333,0.18957,0.209853333,1.93731,1.946326667,0.06244,0.050736667,-11.50099357,-6.330993566,0.2538505,0.0403495,0.04647,0.15889,318.4057502,0.198350396,18.46,3.52,12.87,32.61,390.24793,325.70863,0.792894,3.240919463,3.240919463,3.240919463,0.0,3.240919463,12.31188344,12.31188344,12.31188344,0.0,12.31188344,9.809737739,9.809737739,9.809737739,0.0,9.809737739,-3.002759228,-3.002759228,-3.002759228,0.0,-3.002759228,-6.806978511,-6.806978511,-6.806978511,0.0,-6.806978511,0.855550542,0.855550542,0.855550542,0.0,0.855550542,26.9521864,26.9521864,26.9521864,0.0,26.9521864,63.15590666,63.15590666,63.15590666,0.0,63.15590666,13.54864889,13.54864889,13.54864889,0.0,13.54864889,17.78979227,17.78979227,17.78979227,0.0,17.78979227,49.69613458,49.69613458,49.69613458,0.0,49.69613458,142.014709,142.014709,142.014709,0.0,142.014709,3.912729312,3.912729312,3.912729312,0.0,3.912729312,91.76466621,91.76466621,91.76466621,0.0,91.76466621,0.0,0.0,0.0,0.0,0.0,17.78979227,17.78979227,17.78979227,0.0,17.78979227,0.0,0.0,0.0,0.0,0.0,142.014709,142.014709,142.014709,0.0,142.014709,63.15590666,63.15590666,63.15590666,0.0,63.15590666,0.0,0.0,0.0,0.0,0.0,316.7601372,316.7601372,316.7601372,0.0,316.7601372,0.0,0.0,0.0,0.0,0.0,3.948935127,3.948935127,3.948935127,0.0,3.948935127,8.831463296,8.831463296,8.831463296,0.0,8.831463296,8.106904303,8.106904303,8.106904303,0.0,8.106904303,3.948935127,3.948935127,3.948935127,0.0,3.948935127,6.086296509,6.086296509,6.086296509,0.0,6.086296509,7.006887859,7.006887859,7.006887859,0.0,7.006887859,35.1658591150648,35.1658591150648,0.0,5.363092115220395,0.4604055271280627,-5.307329250205125,-4.856794245037214,0.9311324436120968
