restart,step,negative_mll_per_point,lengthscale_mean,noise_variance_standardized
0,1,0.6988843701461068,1.0000000000000007,9.999999974752433e-07
0,2,0.6881148489787683,1.009939716157691,9.999999974752433e-07
0,3,0.6773499452543978,1.0199791825155302,9.999999974752433e-07
0,4,0.6666047496945855,1.0301189642630784,9.999999974752433e-07
0,5,0.6558959521497673,1.0403592057996227,9.999999974752433e-07
0,6,0.6452419322012982,1.0506995588194858,9.999999974752433e-07
0,7,0.6346628455123057,1.061139101282576,9.999999974752433e-07
0,8,0.624180702665904,1.0716762459589195,9.999999974752433e-07
0,9,0.6138194363935261,1.0823086370615829,9.999999974752433e-07
0,10,0.6036049520825145,1.0930330333023026,9.999999974752433e-07
0,11,0.5935651552341349,1.1038451755277676,9.999999974752433e-07
0,12,0.5837299480966172,1.11473963693713,9.999999974752433e-07
0,13,0.5741311860058406,1.1257096537666877,9.999999974752433e-07
0,14,0.5648025820262405,1.1367469342915952,9.999999974752433e-07
0,15,0.5557795463205953,1.1478414440891433,9.999999974752433e-07
0,16,0.5470989443568658,1.1589811658084066,9.999999974752433e-07
0,17,0.5387987557194466,1.1701518323009121,9.999999974752433e-07
0,18,0.5309176131692249,1.1813366330274822,9.999999974752433e-07
0,19,0.5234942000779526,1.1925158953524073,9.999999974752433e-07
0,20,0.51656648403373,1.203666744899754,9.999999974752433e-07
0,21,0.5101707661218083,1.2147627528523968,9.999999974752433e-07
0,22,0.5043405302791378,1.225773583217752,9.999999974752433e-07
0,23,0.4991050866673427,1.236664659931332,9.999999974752433e-07
0,24,0.4944880189067372,1.247396882362659,9.999999974752433e-07
0,25,0.49050546895743635,1.2579264281907903,9.999999974752433e-07
0,26,0.4871643266186156,1.2682046940868252,9.999999974752433e-07
0,27,0.48446043291269125,1.278178435751066,9.999999974752433e-07
0,28,0.4823769553989318,1.28779017711965,9.999999974752433e-07
0,29,0.4808831422568553,1.2969789603228639,9.999999974752433e-07
0,30,0.47993369949704634,1.3056814986816463,9.999999974752433e-07
0,31,0.47946904600909146,1.3138337701217397,9.999999974752433e-07
0,32,0.47941666647788744,1.321373045066627,9.999999974752433e-07
0,33,0.47969368838086535,1.3282402824166233,9.999999974752433e-07
0,34,0.48021065417421105,1.3343827570688986,9.999999974752433e-07
0,35,0.4808762609384722,1.3397567166106559,9.999999974752433e-07
0,36,0.48160263675043047,1.3443298213669752,9.999999974752433e-07
0,37,0.4823105698723099,1.348083117202725,9.999999974752433e-07
0,38,0.48293405427739544,1.3510123319014797,9.999999974752433e-07
0,39,0.4834235895050266,1.3531283676619557,9.999999974752433e-07
0,40,0.48374786282887916,1.3544569656897478,9.999999974752433e-07
0,41,0.4838937000336818,1.3550376193275864,9.999999974752433e-07
0,42,0.4838644326872236,1.3549218879527918,9.999999974752433e-07
0,43,0.4836770357182397,1.354171303257084,9.999999974752433e-07
0,44,0.4833585046114357,1.3528550626764335,9.999999974752433e-07
0,45,0.48294196146163987,1.3510476807109,9.999999974752433e-07
0,46,0.4824629216854625,1.3488267303143535,9.999999974752433e-07
0,47,0.48195604804825465,1.3462707649512156,9.999999974752433e-07
0,48,0.48145259584935846,1.3434574750808665,9.999999974752433e-07
0,49,0.4809786360561914,1.3404621043472882,9.999999974752433e-07
0,50,0.480554046372567,1.3373561310090405,9.999999974752433e-07
0,51,0.48019218998744606,1.3342062076893733,9.999999974752433e-07
0,52,0.4799001584229949,1.3310733452659342,9.999999974752433e-07
0,53,0.47967943521506057,1.3280123227019978,9.999999974752433e-07
0,54,0.47952683612754193,1.3250713023983716,9.999999974752433e-07
0,55,0.47943559381660567,1.3222916293390943,9.999999974752433e-07
0,56,0.47939647527912854,1.3197077915075888,9.999999974752433e-07
0,57,0.479398844773552,1.3173475186648416,9.999999974752433e-07
0,58,0.47943160987181527,1.3152319966613089,9.999999974752433e-07
0,59,0.47948401153442094,1.3133761750845296,9.999999974752433e-07
0,60,0.4795462391335828,1.3117891472678682,9.999999974752433e-07
0,61,0.4796098674692513,1.3104745834727631,9.999999974752433e-07
0,62,0.47966812490132493,1.3094312003063684,9.999999974752433e-07
0,63,0.479716010039475,1.3086532519956249,9.999999974752433e-07
0,64,0.4797502795150475,1.3081310318298747,9.999999974752433e-07
0,65,0.4797693318415977,1.3078513747297098,9.999999974752433e-07
