descriptor,PC1,PC2,PC3,PC4
vmin_vmin_boltz,-0.04067306530540895,0.10981953552077278,-0.041338244207637334,0.13129977274451812
vmin_r_boltz,-0.031976712086411285,0.09478640684095829,-0.029553152030867447,0.10669412842363274
fmo_e_homo_boltz,0.0689854867747084,-0.08071910798533272,0.0076196971082009984,-0.0677526072028799
fmo_e_lumo_boltz,-0.05180416974357119,-0.06535314216846433,0.10796222610018481,-0.040589133625210716
fmo_mu_boltz,0.00013882147907651882,-0.09273117396310165,0.08355680646603869,-0.06735174183492454
fmo_eta_boltz,-0.09159224788164784,-0.003985559825289198,0.09019993183115249,0.009243074098248726
fmo_omega_boltz,0.03340007271515529,0.07971758342476909,-0.10464212603735701,0.05270235635226955
somo_ra_boltz,-0.09090076064035055,-0.04873847810309212,0.10621398937627599,-0.02369418352035521
somo_rc_boltz,0.10888995775494723,-0.007993176998542828,-0.033602188661339474,-0.022860540318713957
nbo_P_boltz,-0.023789768179655724,0.08843548980625084,0.07250861501576504,0.16954037273765818
nbo_P_ra_boltz,0.00625098739239603,0.07919751421555181,0.06043051109774201,0.14845570213893922
spindens_P_ra_boltz,-0.07997395326151292,0.03239070149964025,0.05491117020682147,0.08472242745236704
nbo_P_rc_boltz,-0.03967941089320232,0.04359116666036943,0.08451392722108132,0.1312926447896888
spindens_P_rc_boltz,-0.016882843171063387,-0.08235497959569701,0.0034831934313027057,-0.09183447300832158
nmr_P_boltz,0.03769259409833005,-0.07490241687404418,-0.07291297641616065,-0.18106509860177353
nmrtens_sxx_P_boltz,0.045582917017370626,-0.07867852794285048,-0.06957989608074898,-0.17067392619285954
nmrtens_syy_P_boltz,0.04252155983625588,-0.0804727140442319,-0.07711053042498256,-0.17399109033967997
nmrtens_szz_P_boltz,-0.0009117661699017437,-0.02955412721717326,-0.04538323353495628,-0.1454391565355555
efg_amp_P_boltz,-0.02913014415378865,0.06780952342424264,0.0465201034536323,0.17811324479517582
efgtens_xx_P_boltz,0.025880067565979433,-0.04869608381844968,-0.03955358981059063,-0.1353742018525212
efgtens_yy_P_boltz,-0.008444659153992022,-0.007835134795010308,0.0029590683343308556,-0.006876254994198933
efgtens_zz_P_boltz,-0.027087762632799498,0.07123927753511909,0.049898493412998485,0.18530848514319767
nuesp_P_boltz,-0.04693801713337497,0.11828046474363005,0.02432847485393819,0.18099562487815485
E_solv_cds_boltz,-0.10208524114046334,0.0102381105152637,0.00964027487627073,0.04608673773143288
nbo_lp_P_percent_s_boltz,-0.06021178546055997,0.11463620449547712,0.0840919887918999,0.127368753994288
nbo_lp_P_occ_boltz,-0.05482211304594026,0.07304983476401991,0.10715183388743019,0.04984355550055176
nbo_lp_P_e_boltz,0.06343849504034661,-0.12615088572974753,-0.031063330188663835,-0.13236463393674716
nbo_bd_e_max_boltz,0.03772260595883482,-0.10316806968706771,-0.03639520058059274,-0.1395746021370418
nbo_bd_e_avg_boltz,0.049750438426098186,-0.10770431739635991,-0.052426474663716964,-0.17417706131224353
nbo_bds_e_min_boltz,0.039964987477396595,-0.06244474712372843,-0.01841634275085232,-0.09200445291523929
nbo_bds_e_avg_boltz,0.04316321465474634,-0.06036779590644185,-0.008224821416022066,-0.08269971525743443
nbo_bd_occ_min_boltz,-0.06423903614840935,0.07020246343359551,0.05965415872755469,0.02474503207367637
nbo_bd_occ_avg_boltz,-0.0782746053075768,0.07415667473130479,0.08179932974260894,0.03777422841167511
nbo_bds_occ_max_boltz,-0.030662058432582004,0.04780097296630439,0.06951092268739165,0.17796670874883877
nbo_bds_occ_avg_boltz,-0.028472131548712424,0.048247553103005575,0.06948402961129722,0.19031696761176145
E_solv_total_boltz,-0.11351657028857123,-0.03531479882264967,0.048530938390811545,0.016019765158856707
E_solv_elstat_boltz,-0.09119916274815579,-0.0809349335460637,0.08154855805986726,-0.026780687386592405
E_oxidation_boltz,-0.09151767818512728,0.062298282978335714,0.012744329198671592,0.05159345851489025
E_reduction_boltz,-0.0742754132879019,-0.05762903528363013,0.11040767299684011,-0.03301565483403289
fukui_p_boltz,-0.08499813587637355,0.037697031156821305,0.04314304643612441,0.08143632732146527
fukui_m_boltz,-0.022842933428386246,-0.0832458891750083,0.010676612839013739,-0.0823597951019535
vbur_vtot_boltz,0.12417012269866158,0.01987653899233287,-0.02850190959435062,0.015820121827240245
vbur_ratio_vbur_vtot_boltz,-0.08083924133014737,-0.061989803440843046,0.09390414378287018,0.014265397498291872
Pint_P_int_boltz,0.11793394155337568,-0.007129716048068933,-0.04052378871755054,-0.013413618506013199
Pint_dP_boltz,0.10771902953650381,0.03439431268812519,-0.06626019021669187,0.02327167943328124
Pint_P_min_boltz,0.04255153434462286,-0.07429654937032584,0.028831439610694506,-0.031401618331819654
Pint_P_max_boltz,0.11921216987994072,0.004232173329459209,-0.03385328505697399,0.007481410366558292
volume_boltz,0.12392443108358987,0.011777718101815259,-0.01683137583392451,0.006559894535068108
surface_area_boltz,0.12236202242152361,0.026325494932696644,-0.029285182672015662,0.0016961017305405566
sphericity_boltz,-0.10688892792874895,-0.06174106445530892,0.0524738156226343,0.004270700720938451
