model,ligand,n,pooled_r2,pooled_rmse,pooled_mae
ligand_ohe,AmPhos,384,0.6732662399870919,18.064492036641305,13.152164381543797
ligand_ohe,CataCXium A,384,0.6898189384086446,17.21869440148548,13.056236186822256
ligand_ohe,P(Cy)3,384,0.6953026184400917,16.342709982729133,11.77883217672507
ligand_ohe,P(Ph)3,384,0.6925466633737047,18.421310041881156,13.346688420176505
ligand_ohe,P(o-Tol)3,384,0.44506736769949296,20.456814595972247,15.564596721132597
ligand_ohe,P(tBu)3,384,0.5375034694886589,19.65870004238543,13.660644500454266
ligand_ohe,SPhos,384,0.27256210643035894,23.802836902490252,16.577466009060544
ligand_ohe,XPhos,384,-0.0020100423259445943,27.042052422692684,19.806075089971223
pc_scores,AmPhos,384,0.17108435582879689,28.772918578510737,23.62059284071128
pc_scores,CataCXium A,384,0.48158178066109014,22.26038684010327,15.903399462302525
pc_scores,P(Cy)3,384,0.5636787856867109,19.55657858143005,15.463862824440001
pc_scores,P(Ph)3,384,0.5814137603798333,21.49430368195651,16.52562441647053
pc_scores,P(o-Tol)3,384,0.29415662861378045,23.07129899204342,15.438679226438204
pc_scores,P(tBu)3,384,0.28202022107073277,24.493827957600395,21.561771800716716
pc_scores,SPhos,384,0.8321750278227622,11.43296969972166,8.128781672318777
pc_scores,XPhos,384,0.7774158407157096,12.745319887793361,10.76370377600193
pc_top,AmPhos,384,0.6795701274545838,17.889378265141385,15.749818883339564
pc_top,CataCXium A,384,0.7103452803490913,16.639216932649866,12.060490492979683
pc_top,P(Cy)3,384,0.7305923250685352,15.367198270504309,11.889419668714206
pc_top,P(Ph)3,384,0.5216505816251331,22.97754005722836,17.490412710309027
pc_top,P(o-Tol)3,384,0.32825248792750517,22.507170996915573,17.525380406181018
pc_top,P(tBu)3,384,0.5670278794477294,19.020876374396206,16.47355167945226
pc_top,SPhos,384,0.732884951100643,14.423808199010212,10.37192498644193
pc_top,XPhos,384,0.522938006654479,18.659114191778755,16.258807278076805
selected_2,AmPhos,384,0.6925962688304277,17.52198547240248,12.22621814330419
selected_2,CataCXium A,384,0.5341118310002495,21.102476249706704,16.117560748855272
selected_2,P(Cy)3,384,0.7049697158649479,16.081368786203218,12.937866232991219
selected_2,P(Ph)3,384,0.48039473800729493,23.947913290989877,21.74906660993894
selected_2,P(o-Tol)3,384,0.318179443538702,22.675293784909776,15.532818141182261
selected_2,P(tBu)3,384,0.6591933620157404,16.875419557643788,11.564489409923553
selected_2,SPhos,384,0.878812938012384,9.715359799640783,7.861891344388326
selected_2,XPhos,384,0.8801906504360415,9.350804313479284,7.036272430419923
selected_5,AmPhos,384,0.11636930494618425,29.70736590987802,27.11646858334542
selected_5,CataCXium A,384,0.7345633044431756,15.928433264055442,12.21102248350779
selected_5,P(Cy)3,384,0.5583975519033778,19.67457903995573,15.849727691610653
selected_5,P(Ph)3,384,0.48744294648083153,23.78493746822811,21.541857326229415
selected_5,P(o-Tol)3,384,0.3993270141702959,21.283200068680944,15.004821029901505
selected_5,P(tBu)3,384,0.5239053763619468,19.945604130702883,16.917652862270675
selected_5,SPhos,384,0.8982040159887752,8.904224126195908,6.541644710699717
selected_5,XPhos,384,0.8722305798546093,9.656440641618016,7.598254746794701
