model,method,n_folds,device,run_time_sec,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,nll_mean,nll_std,ece_mean,ece_std,cdf_ama_mean,cdf_ama_std,cvpp_ama_mean,cvpp_ama_std,Cv_mean,Cv_std,sharpness_mean,sharpness_std,RUSC_mean,RUSC_std,n,pooled_r2,pooled_rmse,pooled_mae
ligand_ohe,iid_stratified_8,8,cuda,159.325,0.9251337768429269,0.0077793697622564936,8.217440996073456,0.4588740418241932,5.7729837137709055,0.28918237560740867,3.7307812531866364,0.016296698754451083,0.10309244791666666,0.00725371155425907,0.10421964666029115,0.010307301504666647,0.2107204861111111,0.012850960768916099,0.06177749205380678,0.003650369460845928,14.028913140296936,0.11137432970067873,0.02896063629581906,0.03801377300803245,3072,0.9252122346182271,8.230243125826162,5.772983713770906
ligand_ohe,kfold_stratified_5,5,cuda,103.575,0.9230466154119996,0.006670617840014335,8.336862736801356,0.35182436741744505,5.879552026463847,0.263387806087725,3.73954608145461,0.009942441085749012,0.10198580546066047,0.007501546139216158,0.10421418978671812,0.007844228070838313,0.2075307680764104,0.012236340097734057,0.06222554892301559,0.0044625839711989555,14.09374122619629,0.09756143910127162,0.019474286698562278,0.05707005565341171,3072,0.9231248046690714,8.34431138619964,5.879557371934255
ligand_ohe,lolo,8,cuda,171.639,0.5005071701877624,0.237021590317633,20.12595130328471,3.3837887490117713,14.61783793573578,2.419532294806524,4.8772221352252085,0.5516938176084438,0.08923828125,0.055020174507145705,0.09545823350364722,0.053216394222931784,0.08404947916666672,0.04321333984005283,0.04408187186345458,0.002192978366189804,11.887294173240662,0.2864702748218965,0.11529839082262386,0.12020787304815525,3072,0.540141367136243,20.408428213856308,14.617837935735784
pc_scores,iid_stratified_8,8,cuda,159.592,0.924451544243025,0.010367335311768346,8.248486113428825,0.5905702584454923,5.793579284871617,0.32889452615923154,3.772313885089174,0.021838721221926892,0.10891927083333333,0.00715642578856752,0.15325069329701618,0.11283877292988642,0.2222005208333333,0.01282629192549487,0.07210658024996519,0.0050843563553937335,14.859068751335144,0.10440599356919233,-0.03191446465519915,0.05433684136378255,3072,0.9244952434229758,8.269600739672292,5.793579284871618
pc_scores,kfold_stratified_5,5,cuda,104.633,0.920878892949899,0.007443205378082139,8.45224223967318,0.3987295407970297,5.936795170449367,0.23768502708186962,3.7806548890598135,0.012897262086048302,0.10637975689203147,0.005537792787824334,0.10785998777529668,0.005163153747484957,0.21688089121933563,0.01057228516097536,0.07102401256561279,0.005463034358448438,14.879910850524903,0.08260927774043919,-0.01921760202835818,0.03542831946632212,3072,0.920949284167687,8.461557104583358,5.936730093061924
pc_scores,lolo,8,cuda,157.652,0.497940800097427,0.22258719438422797,20.478450527394926,5.458061179925775,15.925802002424994,4.733203341089396,4.576391051708372,0.39075144832306513,0.10339843750000001,0.034550508294765345,0.10671326536120149,0.0367583489204141,0.10100911458333335,0.047569661012328256,0.028611218032892793,0.015228215241296991,16.550108551979065,2.084307331467509,-0.15965533566943518,0.2008378171140719,3072,0.5040889840142428,21.193333099037872,15.925802002424996
pc_top,iid_stratified_8,8,cuda,160.362,0.9280081114132743,0.008799498278839227,8.055131840024359,0.5124923322627639,5.651585678358873,0.3133285098609274,3.735344474196312,0.019376748441798885,0.10869140625000001,0.007922337157616683,0.08016910430077688,0.17702153572816082,0.2187717013888889,0.013622855657716483,0.0633238679729402,0.0034439222168264733,14.235758423805237,0.09117473700668655,-0.016137497456851245,0.058483975041017475,3072,0.9280708440154276,8.071418546377231,5.651585678358873
pc_top,kfold_stratified_5,5,cuda,103.686,0.9247892890590634,0.005687380126611611,8.243900886876636,0.3015300324051926,5.778764173068699,0.1908258626459513,3.745340118299815,0.009402267543525343,0.10540340563014752,0.005712767456443979,0.09950242914548582,0.01817941889665366,0.21497280262704907,0.009348632390424534,0.06358904018998146,0.00535515026759876,14.308525085449219,0.07825098832015334,0.010192398258711648,0.0410853042499248,3072,0.9248645782817779,8.24935038641542,5.778724071060618
pc_top,lolo,8,cuda,161.052,0.5991577049534625,0.13239412242245235,18.43553791095308,2.886051147334524,14.727475763186813,2.6466778499167725,4.383976294536787,0.2375472505132474,0.115859375,0.0730482861568981,0.1174358520776568,0.07341616709188868,0.0779904513888889,0.023831569698262247,0.020157073042355478,0.007333467097308003,16.49112343788147,1.4504724025113032,-0.16847225753102996,0.17902489657099468,3072,0.6155570196045885,18.660073667893684,14.727475763186812
selected_2,iid_stratified_8,8,cuda,162.324,0.9238753476964972,0.010235173022683394,8.279801343321708,0.5908002030064262,5.733966817532977,0.2867543858592821,3.7739795041029165,0.02315220378657115,0.11090494791666666,0.0055950772340602915,0.1128684386858541,0.005537135140853177,0.2270833333333333,0.010513063085642935,0.08498821035027504,0.006374689422400165,14.8947993516922,0.08508292964742559,0.005156472525516259,0.026179696087747617,3072,0.9239234797434169,8.300852676969058,5.733966817532976
