model,ligand,n,pooled_r2,pooled_rmse,pooled_mae
ligand_ohe,AdBrettPhos,990,0.8606486267053544,10.592893952390265,7.987693934946099
ligand_ohe,XPhos,990,-1.1272655642714424,25.56207425590704,18.835779018032156
ligand_ohe,t-BuBrettPhos,989,0.8467597920753793,11.236226145783034,8.4090029649621
ligand_ohe,t-BuXPhos,986,0.7061135452195372,15.250604029386954,11.471254748472822
pc_scores,AdBrettPhos,990,0.05770359462813701,27.54563352381088,23.781190646248287
pc_scores,XPhos,990,-0.9668619145409505,24.579450674609557,21.687364565612466
pc_scores,t-BuBrettPhos,989,0.805638696628583,12.654325649887182,10.214491067567927
pc_scores,t-BuXPhos,986,-0.1439091920684512,30.08798023047606,25.540222398494176
pc_top,AdBrettPhos,990,-0.00045992951674178606,28.383035961623854,24.506128925927662
pc_top,XPhos,990,-0.9668619145409505,24.579450674609557,21.687364565612466
pc_top,t-BuBrettPhos,989,0.36307483863100953,22.90753232317456,19.44595478111762
pc_top,t-BuXPhos,986,-0.13270609215363538,29.94028143193332,25.416701197226974
rxnpredict_full,AdBrettPhos,990,-0.00048372860151735253,28.38337354948819,24.506416130246237
rxnpredict_full,XPhos,990,-0.9668619145409505,24.579450674609557,21.687364565612466
rxnpredict_full,t-BuBrettPhos,989,-0.00765573849172041,28.813113924400845,24.578573963556984
rxnpredict_full,t-BuXPhos,986,-0.1439091920684512,30.08798023047606,25.540222398494176
rxnpredict_full_ohe,AdBrettPhos,990,-0.00048372860151735253,28.38337354948819,24.506416130246237
rxnpredict_full_ohe,XPhos,990,-0.9668619145409505,24.579450674609557,21.687364565612466
rxnpredict_full_ohe,t-BuBrettPhos,989,0.0030463064664263406,28.659697258266547,24.44585383593056
rxnpredict_full_ohe,t-BuXPhos,986,-0.1439091920684512,30.08798023047606,25.540222398494176
selected_2,AdBrettPhos,990,0.8873503891614174,9.524097788446673,6.915628712561694
selected_2,XPhos,990,-0.7784139703399462,23.372311606462123,20.674911696011716
selected_2,t-BuBrettPhos,989,0.9063736372202398,8.782803802119444,6.537894356086109
selected_2,t-BuXPhos,986,0.29302056956857003,23.6537852303965,20.185048576568633
selected_5,AdBrettPhos,990,0.8640013097448763,10.464689840089262,7.865112586664775
selected_5,XPhos,990,-0.9616844979319592,24.547078825900844,21.664021978363017
selected_5,t-BuBrettPhos,989,0.8835053004561072,9.796866452850425,7.366118717866222
selected_5,t-BuXPhos,986,-0.13709422125418613,29.998220037092786,25.46783709424674
