model,ligand_features,ligand_dimensions,common_inputs
ligand_ohe,Ligand identity OHE,8 known categories; 7 training columns in LOLO by default,"Reactant_1_Short_Hand, Reagent_1_Short_Hand, Solvent_1_Short_Hand, substrate_pair"
selected_5,"vbur_pct_boltz, vbur_pct_min, vbur_pct_delta, dipolemoment_boltz, homo_lumo_gap_eV",5,"Reactant_1_Short_Hand, Reagent_1_Short_Hand, Solvent_1_Short_Hand, substrate_pair"
selected_2,"vbur_pct_boltz, vbur_pct_min",2,"Reactant_1_Short_Hand, Reagent_1_Short_Hand, Solvent_1_Short_Hand, substrate_pair"
pc_top,Top 3 original descriptors per PC1-PC4 (deduplicated),12,"Reactant_1_Short_Hand, Reagent_1_Short_Hand, Solvent_1_Short_Hand, substrate_pair"
pc_scores,"PC1, PC2, PC3, PC4 scores",4,"Reactant_1_Short_Hand, Reagent_1_Short_Hand, Solvent_1_Short_Hand, substrate_pair"
