descriptor,PC1,PC2,PC3,PC4
vmin_vmin_boltz,-0.040673065305408956,0.1098195355207731,-0.04133824420763723,0.13129977274451804
vmin_r_boltz,-0.031976712086411285,0.09478640684095874,-0.029553152030867363,0.10669412842363268
fmo_e_homo_boltz,0.0689854867747084,-0.08071910798533269,0.007619697108200485,-0.06775260720287907
fmo_e_lumo_boltz,-0.05180416974357127,-0.06535314216846477,0.10796222610018477,-0.040589133625210494
fmo_mu_boltz,0.0001388214790764633,-0.09273117396310188,0.08355680646603893,-0.0673517418349242
fmo_eta_boltz,-0.09159224788164785,-0.003985559825289309,0.09019993183115294,0.009243074098248705
fmo_omega_boltz,0.0334000727151554,0.07971758342476931,-0.1046421260373569,0.05270235635226955
somo_ra_boltz,-0.09090076064035056,-0.04873847810309236,0.10621398937627602,-0.023694183520355072
somo_rc_boltz,0.10888995775494718,-0.007993176998542819,-0.03360218866133945,-0.022860540318713846
nbo_P_boltz,-0.023789768179655685,0.08843548980625072,0.0725086150157653,0.16954037273765826
nbo_P_ra_boltz,0.0062509873923960405,0.07919751421555174,0.06043051109774232,0.14845570213893933
spindens_P_ra_boltz,-0.07997395326151288,0.03239070149964021,0.05491117020682157,0.08472242745236694
nbo_P_rc_boltz,-0.0396794108932023,0.043591166660369295,0.08451392722108152,0.13129264478968883
spindens_P_rc_boltz,-0.016882843171063425,-0.08235497959569713,0.0034831934313025014,-0.0918344730083216
nmr_P_boltz,0.037692594098330014,-0.07490241687404406,-0.07291297641616096,-0.18106509860177358
nmrtens_sxx_P_boltz,0.04558291701737059,-0.07867852794285042,-0.0695798960807493,-0.1706739261928597
nmrtens_syy_P_boltz,0.042521559836255864,-0.0804727140442318,-0.07711053042498282,-0.17399109033968005
nmrtens_szz_P_boltz,-0.0009117661699017583,-0.02955412721717324,-0.04538323353495651,-0.14543915653555564
efg_amp_P_boltz,-0.0291301441537886,0.0678095234242426,0.04652010345363256,0.1781132447951759
efgtens_xx_P_boltz,0.025880067565979402,-0.04869608381844964,-0.03955358981059082,-0.13537420185252141
efgtens_yy_P_boltz,-0.008444659153992035,-0.007835134795010324,0.002959068334330855,-0.006876254994198808
efgtens_zz_P_boltz,-0.027087762632799463,0.07123927753511908,0.049898493412998776,0.1853084851431978
nuesp_P_boltz,-0.04693801713337487,0.1182804647436301,0.024328474853938395,0.18099562487815465
E_solv_cds_boltz,-0.10208524114046333,0.010238110515263753,0.009640274876270751,0.046086737731432834
nbo_lp_P_percent_s_boltz,-0.060211785460559955,0.114636204495477,0.08409198879190029,0.12736875399428796
nbo_lp_P_occ_boltz,-0.054822113045940264,0.07304983476401972,0.10715183388743045,0.04984355550055182
nbo_lp_P_e_boltz,0.0634384950403465,-0.1261508857297475,-0.03106333018866409,-0.13236463393674694
nbo_bd_e_max_boltz,0.037722605958834754,-0.10316806968706772,-0.03639520058059303,-0.13957460213704162
nbo_bd_e_avg_boltz,0.04975043842609812,-0.10770431739635986,-0.052426474663717235,-0.17417706131224345
nbo_bds_e_min_boltz,0.039964987477396546,-0.06244474712372845,-0.018416342750852424,-0.09200445291523916
nbo_bds_e_avg_boltz,0.0431632146547463,-0.06036779590644193,-0.008224821416022128,-0.08269971525743415
nbo_bd_occ_min_boltz,-0.06423903614840933,0.07020246343359544,0.05965415872755489,0.024745032073676277
nbo_bd_occ_avg_boltz,-0.07827460530757678,0.07415667473130466,0.08179932974260916,0.03777422841167511
nbo_bds_occ_max_boltz,-0.03066205843258197,0.047800972966304325,0.06951092268739184,0.17796670874883883
nbo_bds_occ_avg_boltz,-0.02847213154871239,0.04824755310300555,0.0694840296112974,0.19031696761176145
E_solv_total_boltz,-0.11351657028857126,-0.03531479882264977,0.04853093839081146,0.01601976515885669
E_solv_elstat_boltz,-0.0911991627481558,-0.0809349335460639,0.08154855805986709,-0.02678068738659234
E_oxidation_boltz,-0.09151767818512721,0.0622982829783357,0.012744329198671632,0.05159345851489005
E_reduction_boltz,-0.07427541328790195,-0.0576290352836304,0.11040767299684018,-0.03301565483403275
fukui_p_boltz,-0.08499813587637349,0.03769703115682128,0.043143046436124544,0.08143632732146519
fukui_m_boltz,-0.02284293342838626,-0.08324588917500839,0.01067661283901353,-0.08235979510195351
vbur_vtot_boltz,0.12417012269866155,0.019876538992332927,-0.028501909594350564,0.01582012182724015
vbur_ratio_vbur_vtot_boltz,-0.08083924133014736,-0.06198980344084322,0.09390414378287001,0.014265397498291891
Pint_P_int_boltz,0.11793394155337564,-0.007129716048068922,-0.04052378871755057,-0.013413618506013195
Pint_dP_boltz,0.1077190295365038,0.03439431268812532,-0.06626019021669187,0.023271679433281137
Pint_P_min_boltz,0.042551534344622784,-0.07429654937032597,0.028831439610694395,-0.03140161833181961
Pint_P_max_boltz,0.1192121698799407,0.004232173329459232,-0.033853285056973964,0.007481410366558255
volume_boltz,0.12392443108358982,0.011777718101815217,-0.016831375833924432,0.0065598945350680326
surface_area_boltz,0.12236202242152358,0.02632549493269664,-0.02928518267201555,0.0016961017305404927
sphericity_boltz,-0.10688892792874895,-0.06174106445530902,0.05247381562263414,0.004270700720938517
dipolemoment_boltz,0.020808233318252014,0.08624224006002966,-0.07814646305036958,0.057595915798489467
dipolemoment_min,0.00663385706429214,0.03837428736014086,-0.1033371563915921,0.04995923409194412
dipolemoment_max,0.026780472905406225,0.11184002013781992,-0.04751569807009584,0.04399701674446792
dipolemoment_delta,0.028004893276820358,0.10833662978825069,0.024257860792410907,0.014464696531864213
dipolemoment_vburminconf,0.019477303544487234,0.08849551635760727,-0.06671580814225146,0.03412070835181255
qpole_amp_boltz,0.048714560741581966,0.11410620059256153,-0.0996062970603375,0.03412735146443113
qpole_amp_min,0.03794193496176345,0.07240345444960883,-0.1232729546137687,0.03887646033218337
qpole_amp_max,0.054441974191346075,0.1292151151554708,-0.06941287275545174,0.02312168640403138
qpole_amp_delta,0.04411300631330494,0.11871186997468362,0.0032171374086403673,0.0006639885417557604
qpole_amp_vburminconf,0.05316697837753313,0.10711514669222891,-0.0854023172260628,0.021668651991792517
qpoletens_xx_boltz,0.049726329755198,0.11444177067199847,-0.09152884516530035,0.041641236469461114
qpoletens_xx_min,0.03686140290558002,0.07016517353818101,-0.11707984942084608,0.047756384669675085
qpoletens_xx_max,0.05477319034002773,0.12828990193635753,-0.06447217508211817,0.031610279486109186
qpoletens_xx_delta,0.04498330282095151,0.1171511703923883,0.0007812635407164261,0.006650872857241806
qpoletens_xx_vburminconf,0.0519187457305431,0.10640569401810758,-0.07973258509605687,0.03811090996137691
qpoletens_yy_boltz,-0.004637653770581715,-0.0027815058065420077,-0.0266919209274917,-0.035603498342951005
qpoletens_yy_min,-0.03813368721310023,-0.09676674225382015,-0.008171928464065167,-0.026597106738457114
qpoletens_yy_max,0.032411722904444475,0.09481180587832283,-0.01332936830645977,-0.023294972662400194
qpoletens_yy_delta,0.046510753098325454,0.12645687128888855,-0.003640239939651512,0.0016339274657543325
qpoletens_yy_vburminconf,-0.00019582974638615732,-0.009761984984094686,-0.006039884413034101,-0.05955142633924259
qpoletens_zz_boltz,-0.04590659471608648,-0.10918642210190897,0.1002803468586154,-0.024231996638173662
qpoletens_zz_min,-0.05256879780376056,-0.12836850499600022,0.06613410389250232,-0.015464244401919106
qpoletens_zz_max,-0.03452353584728347,-0.0616395684087438,0.12325176001681211,-0.027990773506609605
qpoletens_zz_delta,0.04341800876953146,0.12177655163533009,0.0008597665022217206,0.00037545661371053983
qpoletens_zz_vburminconf,-0.051290276719951115,-0.10022398452657316,0.08208227228305483,-0.006591617812267771
pyr_P_boltz,-0.04599728768106019,0.12421338838052591,0.005745714699773511,-0.05362870934543022
pyr_P_min,-0.06819163266638302,0.09923908502372394,-0.05634890160682351,0.0003097967515447681
pyr_P_max,-0.04571830053537028,0.1298880416096038,0.03808375048768563,-0.04860055532963564
pyr_P_delta,0.04608374879605039,0.007237355557997844,0.1270528065749919,-0.05745240671041554
pyr_P_vburminconf,-0.06316755166182388,0.10274498090009392,-0.03313297762320455,-0.012089470838894957
pyr_alpha_boltz,0.05058747793086189,-0.12039903148475259,-0.011583986168125024,0.03768250276785394
pyr_alpha_min,0.049243855756055596,-0.1285532359890876,-0.04696239133613388,0.02945090177475578
pyr_alpha_max,0.07082693722052079,-0.09311108487919655,0.051829047379060904,-0.007829732125434702
pyr_alpha_delta,0.036504732885395616,0.03433805312575384,0.13378739817440086,-0.04905276874269687
pyr_alpha_vburminconf,0.0652922784848385,-0.09491911523189998,0.028441255385604422,0.0054764238337766296
vbur_vbur_boltz,0.09685134071648188,-0.07034427758206853,0.08793380639385559,0.05145794425054413
vbur_vbur_min,0.07816016890763389,-0.1210754933677836,0.015677679362168635,0.13235062417237414
vbur_vbur_max,0.0939954659844584,-0.02904324043442032,0.13620416768238414,0.016875841189125204
vbur_vbur_delta,0.06923816271798959,0.03613405159918859,0.15824611746716236,-0.05779383924623688
vbur_vbur_vburminconf,0.07816016890763389,-0.12107549336778359,0.015677679362168653,0.13235062417237414
vbur_qvbur_min_boltz,0.07517681574844921,-0.09401970581543331,0.04210699274900048,0.05973847835962425
vbur_qvbur_min_min,0.054854547216039204,-0.1291410895960608,-0.03983942879482683,0.09035998449790697
vbur_qvbur_min_max,0.07229347987598216,-0.038440990787960955,0.11962474145808932,0.01963003806671778
vbur_qvbur_min_delta,0.05187685205735729,0.01757916573732314,0.14484467332730291,-0.020005982444947702
vbur_qvbur_min_vburminconf,0.06625407449855092,-0.12577535546985757,-0.01334825627870823,0.07135887379758331
vbur_qvbur_max_boltz,0.08936319961025209,-0.05135054268426526,0.09211353175581392,0.03457102011680015
vbur_qvbur_max_min,0.0664274905934009,-0.10078901914182405,0.021455183083178987,0.15157095510406296
vbur_qvbur_max_max,0.08980899033019495,-0.014296852455050364,0.13068444492883607,0.005737340414633882
vbur_qvbur_max_delta,0.0644984570811445,0.04366666965529663,0.1388157420622498,-0.08395868653425846
vbur_qvbur_max_vburminconf,0.06791376114007457,-0.09911264632987929,0.024809678710673046,0.14910707153566696
vbur_qvtot_min_boltz,0.09170057656279362,-0.03892831829099038,-0.05085825935374084,0.030929357875354974
vbur_qvtot_min_min,0.07403502010064378,-0.07078789064466844,-0.09620125305258462,0.03909083603392976
vbur_qvtot_min_max,0.10655080444138362,0.0023014173395926748,-0.007073258242826176,0.009243543378183125
vbur_qvtot_min_delta,0.06479678874917197,0.0916522616573929,0.10951532382072546,-0.035109597806834904
vbur_qvtot_min_vburminconf,0.09459733400466189,-0.02716756644945837,-0.04457528174290859,0.024570001939552662
vbur_qvtot_max_boltz,0.11598703094633123,0.03519385471087559,-0.009575292851318827,-0.0016079696645227124
vbur_qvtot_max_min,0.11405689763751084,0.02190839938732295,-0.0384924260757443,0.02076073685136552
vbur_qvtot_max_max,0.11629147095093796,0.050743397345370686,0.010264711956496182,-0.011052088297037717
vbur_qvtot_max_delta,0.07456445925808218,0.08483336128634157,0.09773598289912988,-0.06640535719535712
vbur_qvtot_max_vburminconf,0.11551612243875817,0.03327072046921673,-0.01576821994534066,0.008766409042583629
vbur_max_delta_qvbur_boltz,0.07380755777750267,-0.02697910669260879,0.09170395271054851,0.023268137863414896
vbur_max_delta_qvbur_min,0.04313132965430971,-0.06758640056195742,0.012476640212091336,0.1402707698221516
vbur_max_delta_qvbur_max,0.07839499550948816,0.008937176368809429,0.13773027516392966,-0.006746820564389393
vbur_max_delta_qvbur_delta,0.06330372892289152,0.04411131703554919,0.14342791191450532,-0.07871601730742332
vbur_max_delta_qvbur_vburminconf,0.05268177685324766,-0.06403730124570257,0.040872128279082286,0.14481232579517953
vbur_max_delta_qvtot_boltz,0.08688343299494204,0.05958712467520991,0.0027252343525041773,-0.014003153733704816
vbur_max_delta_qvtot_min,0.0734476420125008,0.02874539086400018,-0.046846254185426345,0.014209918021413095
vbur_max_delta_qvtot_max,0.09611737974223784,0.07774302057909215,0.036098771948925586,-0.026596659468158083
vbur_max_delta_qvtot_delta,0.07415515293297127,0.09121622376100222,0.10367824543775787,-0.0557012159404281
vbur_max_delta_qvtot_vburminconf,0.08936988545320612,0.05109079309762858,-0.0022494475350817726,-0.001302169923863266
vbur_ovbur_min_boltz,0.03976174224856551,-0.03769885562596607,0.04814805616243454,0.0678105996734548
vbur_ovbur_min_min,0.01803871543641132,-0.05131304755354524,0.002829155046504289,0.08194525522608072
vbur_ovbur_min_max,0.04704197765966447,-0.008019154957807082,0.09702920167017523,0.013530495225294783
vbur_ovbur_min_delta,0.044612391489645284,0.004355943178984186,0.10054207986752094,-0.00620067728592005
vbur_ovbur_min_vburminconf,0.018124912221317582,-0.051022109168723705,0.003010096272873285,0.08309202856802803
vbur_ovbur_max_boltz,0.08823678777493729,-0.05076223217719533,0.09058170809537425,0.05769499710975538
vbur_ovbur_max_min,0.07829958683307016,-0.0974734481396217,0.02976259013877027,0.11997548273209208
vbur_ovbur_max_max,0.07954632245085484,-0.009274151575711544,0.12553763184201502,0.02856141249136499
vbur_ovbur_max_delta,0.01493681808054002,0.08938950545606868,0.12033892292662088,-0.08939582763738012
vbur_ovbur_max_vburminconf,0.07966693016572327,-0.09354481939373982,0.03485894880758533,0.11400187161462275
vbur_ovtot_min_boltz,0.040772547776417936,-0.023345106491532115,0.05516327618274298,0.05041852854051337
vbur_ovtot_min_min,0.018084062656029444,-0.050178731975713806,0.0023388635094949133,0.0824154388726892
vbur_ovtot_min_max,0.047016595322868907,0.006478924815095858,0.09451217444960372,0.008087069638577495
vbur_ovtot_min_delta,0.04482355825343226,0.015814885658585888,0.09632785315250722,-0.00680206487734539
vbur_ovtot_min_vburminconf,0.01836341528587675,-0.05098601808621631,0.003056202624763027,0.08445369770904346
vbur_ovtot_max_boltz,0.10658472120051532,0.05215938150281291,-0.042298277030864875,-0.005061521648979074
vbur_ovtot_max_min,0.10435867542024316,0.03213528083688638,-0.06859998285074588,0.008565067534227576
vbur_ovtot_max_max,0.11319892164844264,0.06477970908546724,-0.0017421100022559925,-0.01987480445560534
vbur_ovtot_max_delta,0.07177887026293032,0.08306879166440159,0.10087761200800102,-0.05353270824224806
vbur_ovtot_max_vburminconf,0.1148746511181103,0.04595124005772782,-0.017000816656732528,-0.013384344133590985
vbur_near_vbur_boltz,0.09410125384036505,-0.08127998524095817,0.07241569965908819,0.06004599046255429
vbur_near_vbur_min,0.08492502014094384,-0.11995031483928967,0.014654827389793275,0.09244391247119664
vbur_near_vbur_max,0.08772919387424792,-0.03853913143682749,0.12698143256803854,0.029766948621596998
vbur_near_vbur_delta,0.038110703449710494,0.06528126713990705,0.1626180776148369,-0.05022002684355443
vbur_near_vbur_vburminconf,0.08509521280774099,-0.11957318168422952,0.015407941488477413,0.09306499787452155
vbur_far_vbur_boltz,0.08496235487539969,-0.049962130283290086,0.08896655252391064,0.03601364135599264
vbur_far_vbur_min,0.04223550169327733,-0.08635512173959126,0.010749089349906866,0.15542623043987897
vbur_far_vbur_max,0.08742236300590624,-0.01653447379565964,0.1284246795352219,0.0016589987298783909
vbur_far_vbur_delta,0.07913222554620424,0.01256415684606802,0.13426668595777058,-0.05281871790047538
vbur_far_vbur_vburminconf,0.04295829678844149,-0.08650608755298074,0.011323993562240078,0.1559240629713491
vbur_near_vtot_boltz,0.11506071235510834,0.028664617205673436,-0.05519096611214291,0.011303375613537817
vbur_near_vtot_min,0.11083740220106814,0.01822748708234004,-0.07311840687173786,0.021374651562234982
vbur_near_vtot_max,0.12250452549689951,0.028551140576457447,-0.030299868352711107,-0.0007543345155252589
vbur_near_vtot_delta,0.08481639199061829,0.042420620632930714,0.11517095247694728,-0.06622867064802965
vbur_near_vtot_vburminconf,0.12256194750684281,0.027643052163886666,-0.030730548031453163,-0.0004079262939966838
vbur_far_vtot_boltz,0.08941888727006177,-0.022507635986584645,0.08091580412453386,0.022627550318738587
vbur_far_vtot_min,0.045409745452284815,-0.0644262631501195,0.005508080714775245,0.1371916338486657
vbur_far_vtot_max,0.09539300972266157,0.013529524511899914,0.10660219917461294,-0.007512774495356475
vbur_far_vtot_delta,0.08546204564292625,0.04086838071262486,0.11385508751218237,-0.06383372168187658
vbur_far_vtot_vburminconf,0.04976608020873492,-0.056576535678635236,0.004381567486746211,0.12878891135533532
sterimol_B1_boltz,0.09670767643758141,-0.025856864513991468,-0.0578463561779664,0.0007211750045215836
sterimol_B1_min,0.07917305530823252,-0.06524119464845134,-0.10548017122234248,0.013543022272769115
sterimol_B1_max,0.10074636742046501,0.020486182719772792,-0.015016074204779541,-0.01042790565260612
sterimol_B1_delta,0.040771363076115764,0.10295921605776195,0.10295248858794993,-0.029519914608607693
sterimol_B1_vburminconf,0.09573785294056528,-0.027507142324996618,-0.05603544295798557,0.00088767076649955
sterimol_B5_boltz,0.09947737330187309,0.06621468488082417,-0.05551556075324633,-0.01918293046917245
sterimol_B5_min,0.0975777182095679,0.0395605762442018,-0.09200346229646793,0.008845573731966557
sterimol_B5_max,0.10263565279854887,0.07747049234407265,-0.02699413038735991,-0.036995899167655014
sterimol_B5_delta,0.03567918080499579,0.07179922946322968,0.07792472649747414,-0.07079275914836684
sterimol_B5_vburminconf,0.10632579662567787,0.05370864344640346,-0.05015773265103014,-0.010773491298181928
sterimol_L_boltz,0.06966455866683285,0.07447238103609292,-0.05681688656073042,0.005974249105231385
sterimol_L_min,0.06160784951069528,-0.008373040755410914,-0.10147200387549678,0.030117514849239684
sterimol_L_max,0.09139388563465907,0.0939013747366103,0.02623857665517057,-0.054898201917262225
sterimol_L_delta,0.050868903374314885,0.10269570005923165,0.09845006266979914,-0.07778728603846483
sterimol_L_vburminconf,0.0858291101703359,0.08606521277418701,0.008829894447798765,-0.036571029382900376
sterimol_burB1_boltz,0.09760474848688898,-0.054546894603152235,-0.03196025403702311,0.0075648131604204305
sterimol_burB1_min,0.07700744776701543,-0.088682455465368,-0.09079973766670381,0.01928927360893182
sterimol_burB1_max,0.10293321676279096,-0.0055423730717033045,0.023551421882422235,-0.0027968568629524806
sterimol_burB1_delta,0.038035458310681856,0.08962347837718003,0.12627323840023466,-0.024219933993912705
sterimol_burB1_vburminconf,0.09519024938960922,-0.05547275406584746,-0.030627526419504125,0.011599615067133886
sterimol_burB5_boltz,0.10383747272689281,0.03360971576216421,-0.004721482603817772,-0.0025658518360288725
sterimol_burB5_min,0.10078568697097372,0.00463940982499996,-0.05376514734058583,0.02906066796523525
sterimol_burB5_max,0.10469604613679664,0.05433170490280457,0.028098018603835713,-0.022018322102053612
sterimol_burB5_delta,0.028674846469661806,0.07236157326215291,0.10515571844633709,-0.06663919568039298
sterimol_burB5_vburminconf,0.10442309963758911,0.015989607282386173,-0.015346796011767397,0.01885605815379084
sterimol_burL_boltz,0.05651370522839853,0.008376153196414713,-0.009690875927149336,0.0022026848463386076
sterimol_burL_min,0.04778484192819254,-0.055095426494297446,-0.08973718693347155,0.008986934314706678
sterimol_burL_max,0.06870693906472393,0.037523144949808074,0.08935139449227053,-0.05711687377465821
sterimol_burL_delta,0.013173445911694255,0.07337898351024198,0.14093780420143204,-0.050658396312183655
sterimol_burL_vburminconf,0.0661893935882157,0.024242048197330005,0.04928972686544081,-0.046074888739563336
