model,method,completed_fits,expected_fits,complete_method,run_complete,aggregation,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_test
ligand_ohe,lolo,8,8,True,True,mean_split_metrics,0.5005071701877624,20.12595130328471,14.617837935735782,0.6006792202815405,4.877222128600794,11.887294605063897,0.09450507941419142,0.11529839082262386,0.43424479166666663,16.035716737353553,0.6578776041666666,30.468362022419036,0.7958984375,46.59733859908505,
ligand_ohe,lolo,8,8,True,True,pooled_predictions,0.540141367136243,20.408428213856308,14.617837935735784,0.5741248210692912,4.877222128600794,11.887294605063895,0.04335769905115513,0.0927459903017293,0.4342447916666667,16.035716737353553,0.6578776041666666,30.468362022419033,0.7958984375,46.59733859908504,3072.0
ligand_ohe,iid_matched,8,8,True,True,mean_split_metrics,0.9251337768429269,8.217440996073456,5.7729837137709055,0.8134421367690294,3.7307812456149723,14.02891356156518,0.10480107776402639,0.02896063629581906,0.8079427083333334,18.924716807325044,0.9554036458333333,35.95755227542746,0.9925130208333334,54.99233064578658,
ligand_ohe,iid_matched,8,8,True,True,pooled_predictions,0.9252122346182271,8.230243125826162,5.772983713770906,0.8124190334056972,3.7307812456149727,14.028913561565181,0.10440839005775575,0.023904646283860746,0.8079427083333334,18.924716807325044,0.9554036458333334,35.95755227542747,0.9925130208333334,54.99233064578658,3072.0
ligand_ohe,kfold,5,5,True,True,mean_split_metrics,0.9230466154119996,8.336862736801356,5.879552026463847,0.8106844441862213,3.7395460744674054,14.093740898754723,0.10304529923875043,0.019474286698562278,0.8011074918566775,19.012167556258746,0.952475305209078,36.123711426358156,0.9912099785492969,55.246449137996855,
ligand_ohe,kfold,5,5,True,True,pooled_predictions,0.9231248046690714,8.34431138619964,5.879557371934255,0.8098847672310103,3.7395451960197903,14.093714853127798,0.10272741336633662,0.0129103372114706,0.8011067708333334,19.012132421241947,0.9524739583333334,36.123644668730236,0.9912109375,55.246347041015404,3072.0
selected_2,lolo,8,8,True,True,mean_split_metrics,0.6435561184632235,17.15882765687199,13.128272882625462,0.6783173640754225,4.32401619888849,16.840810539200902,0.10879344575082509,-0.18567658883218607,0.583984375,22.717908187370313,0.8059895833333333,43.16473422310584,0.9212239583333334,66.01476425459268,
selected_2,lolo,8,8,True,True,pooled_predictions,0.6459699008468773,17.90677924215817,13.128272882625462,0.6055974383706253,4.32401619888849,16.840810539200902,0.026336504744224425,0.1939775362851923,0.583984375,22.717908187370313,0.8059895833333334,43.164734223105846,0.9212239583333334,66.01476425459266,3072.0
selected_2,iid_matched,8,8,True,True,mean_split_metrics,0.9238753476964972,8.279801343321708,5.733966817532977,0.8120583339806423,3.7739794965688445,14.894799038146934,0.11284975763201317,0.005156472525516259,0.8206380208333333,20.092778564921126,0.9645182291666667,38.17690605161882,0.9944661458333333,58.38653934345965,
selected_2,iid_matched,8,8,True,True,pooled_predictions,0.9239234797434169,8.30085267696906,5.733966817532977,0.8114146461994953,3.773979496568845,14.894799038146934,0.11251095812706269,0.003667835534846574,0.8206380208333334,20.092778564921126,0.9645182291666666,38.17690605161882,0.9944661458333334,58.38653934345965,3072.0
selected_2,kfold,5,5,True,True,mean_split_metrics,0.9211240629644735,8.440658858911052,5.8451807821264765,0.8090549148585102,3.777096564603274,14.856358762187842,0.1103004047604252,-0.005017305009981104,0.8154302057678559,20.040923420662896,0.9593056327957417,38.07837965994813,0.9944657185985541,58.235856230588446,
selected_2,kfold,5,5,True,True,pooled_predictions,0.9212177203097268,8.447178238651087,5.845186914826432,0.8086691352645389,3.7770925725793156,14.856364901798466,0.11010339315181517,-0.003929672558679594,0.8154296875,20.040931702871767,0.9593098958333334,38.07839539640336,0.9944661458333334,58.23588029741986,3072.0
selected_5,lolo,8,8,True,True,mean_split_metrics,0.5738050117686495,18.610598081164383,15.347681179294984,0.6586884571494978,4.381964512344425,16.273610027817387,0.12204066109735974,-0.06492357388337378,0.45117187499999994,21.952766324902,0.7451171875,41.71094081642337,0.9075520833333334,63.791379105943896,
selected_5,lolo,8,8,True,True,pooled_predictions,0.5704546064016851,19.724314527933128,15.347681179294986,0.549695790624415,4.381964512344425,16.273610027817387,0.029203408622112216,0.43959586622211266,0.451171875,21.952766324902,0.7451171875,41.71094081642337,0.9075520833333334,63.791379105943896,3072.0
selected_5,iid_matched,8,8,True,True,mean_split_metrics,0.9272449729005876,8.096062599536399,5.652318704600136,0.8151046967239025,3.7438002296434307,14.372180288657546,0.11016952867161715,-0.04242886166380984,0.818359375,19.387776585339356,0.9635416666666666,36.83738029843664,0.9938151041666667,56.33791149017054,
selected_5,iid_matched,8,8,True,True,pooled_predictions,0.9273118334588107,8.11389238784568,5.652318704600137,0.8143828149299264,3.743800229643431,14.372180288657546,0.1096360612623762,-0.043834133390491324,0.818359375,19.387776585339356,0.9635416666666666,36.83738029843665,0.9938151041666666,56.337911490170534,3072.0
selected_5,kfold,5,5,True,True,mean_split_metrics,0.9236777889261448,8.304465933909063,5.794883643429904,0.8117120553554725,3.7523835457143724,14.399411397952496,0.10761808781180018,-0.023509796060431243,0.8147835067927227,19.424510793551185,0.9586562855856572,36.907176439933565,0.9915357114483196,56.44465547712489,
selected_5,kfold,5,5,True,True,pooled_predictions,0.9237510437547993,8.310254760311956,5.794853467966118,0.8109523338732922,3.752379700815348,14.399421540088952,0.1072266914191419,-0.026324972407832506,0.8147786458333334,19.42452447508535,0.9586588541666666,36.90720243527527,0.9915364583333334,56.444695233569256,3072.0
pc_top,lolo,8,8,True,True,mean_split_metrics,0.5991577049534624,18.435537910953084,14.727475763186812,0.6894826511082592,4.383976284423132,16.49112353939563,0.11736373246699669,-0.16847225753102996,0.4514973958333333,22.246187593079362,0.7571614583333333,42.26845037900377,0.9173177083333333,64.64401640363228,
pc_top,lolo,8,8,True,True,pooled_predictions,0.6155570196045884,18.660073667893684,14.727475763186812,0.5849522765737992,4.383976284423132,16.49112353939563,0.019491929661716173,0.07279123890356587,0.4514973958333333,22.246187593079366,0.7571614583333334,42.26845037900376,0.9173177083333334,64.64401640363228,3072.0
pc_top,iid_matched,8,8,True,True,mean_split_metrics,0.9280081114132743,8.055131840024359,5.651585678358873,0.8155297354495312,3.7353444660655253,14.23575863831987,0.1092251959570957,-0.016137497456851245,0.8102213541666667,19.20374657562416,0.9615885416666667,36.487717539307795,0.9928385416666666,55.80314844742381,
pc_top,iid_matched,8,8,True,True,pooled_predictions,0.9280708440154276,8.071418546377231,5.651585678358873,0.814785213804952,3.7353444660655257,14.23575863831987,0.10868347772277227,-0.020477803731261752,0.8102213541666666,19.203746575624162,0.9615885416666666,36.487717539307795,0.9928385416666666,55.803148447423816,3072.0
pc_top,kfold,5,5,True,True,mean_split_metrics,0.9247892890590634,8.243900886876636,5.778764173068699,0.8113568165148486,3.74534011094457,14.308525344886212,0.10707648443401581,0.010192398258711648,0.8066438918460846,19.30190737109321,0.9576801461825692,36.674226112747036,0.9915346521543391,56.08838869571107,
pc_top,kfold,5,5,True,True,pooled_predictions,0.9248645782817779,8.24935038641542,5.778724071060618,0.8110525296143827,3.745336533057086,14.308519875630736,0.1067160426980198,0.003480256180252346,0.806640625,19.30189999317969,0.9576822916666666,36.6742120944812,0.9915364583333334,56.08836725662355,3072.0
pc_scores,lolo,8,8,True,True,mean_split_metrics,0.07247431182747822,28.294255327364148,25.65013856013616,0.7118351735341576,4.912492410191976,20.286958377808332,0.1187555435231023,-0.3196825327868451,0.1953125,27.3666909769725,0.4580078125,51.99756653843683,0.8675130208333334,79.52341555273489,
pc_scores,lolo,8,8,True,True,pooled_predictions,0.10347430539696678,28.495662391385164,25.650138560136156,0.25479881815365735,4.912492410191976,20.286958377808332,0.10736063840759077,0.16715051286269328,0.1953125,27.366690976972503,0.4580078125,51.99756653843682,0.8675130208333334,79.52341555273489,3072.0
pc_scores,iid_matched,8,8,True,True,mean_split_metrics,0.9124235152183509,8.888492133904421,6.310220190038284,0.7952624668019107,3.8458342863334876,15.991334265408417,0.10881046307755773,-0.018878640941304127,0.8115234375,21.57198210795473,0.962890625,40.98743892596234,0.9931640625,62.684878449883556,
pc_scores,iid_matched,8,8,True,True,pooled_predictions,0.9125099407078362,8.901777638721638,6.310220190038284,0.7946843511383687,3.845834286333488,15.991334265408417,0.10831283518976895,-0.02081367180525711,0.8115234375,21.571982107954728,0.962890625,40.98743892596234,0.9931640625,62.68487844988356,3072.0
pc_scores,kfold,5,5,True,True,mean_split_metrics,0.910038673843029,9.016699379854368,6.38973022516439,0.7941058595466857,3.8545835516310283,16.130842447744826,0.10807796823219304,-0.030609127427196663,0.8063128624771589,21.76017578606352,0.9628881650380021,41.34501278492136,0.992512910145388,63.231740475739585,
pc_scores,kfold,5,5,True,True,pooled_predictions,0.9101458043430268,9.021246850283417,6.38965923671921,0.7930196325047012,3.854578670333043,16.130831299039226,0.10771980713696369,-0.034006090099017706,0.8063151041666666,21.76016074668821,0.962890625,41.344984209639115,0.9925130208333334,63.23169677361667,3072.0
pc_scores_long,lolo,8,8,True,True,mean_split_metrics,0.08683395814336523,28.023333118978762,25.390917502293984,0.7167605253848104,4.802935045608665,23.641772996013362,0.09633044554455446,-0.2043372998746078,0.24055989583333331,31.892267124547047,0.6142578125,60.59630239058197,0.9583333333333333,92.6740472057156,
pc_scores_long,lolo,8,8,True,True,pooled_predictions,0.1179157797812771,28.26522277307271,25.390917502293984,0.25763955638598146,4.802935045608665,23.641772996013362,0.07914861798679867,-0.0249395809994248,0.24055989583333334,31.892267124547047,0.6142578125,60.59630239058197,0.9583333333333334,92.67404720571558,3072.0
