model,method,completed_fits,expected_fits,complete_method,run_complete,aggregation,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_test
ligand_ohe,lolo,8,8,True,True,mean_split_metrics,0.559062568587763,18.875663526440338,14.056841919032397,0.6261514687491044,5.193763269937589,9.56511749961372,0.11099319306930694,-0.15141335348857168,0.328125,12.903147425821256,0.5862630208333333,24.516382612496038,0.7555338541666667,37.49457161427341,
ligand_ohe,lolo,8,8,True,True,pooled_predictions,0.5934196914994054,19.189804785596284,14.056841919032399,0.5976937768853309,5.19376326993759,9.56511749961372,0.07770730198019804,-0.0493582217465883,0.328125,12.903147425821254,0.5862630208333334,24.51638261249603,0.7555338541666666,37.49457161427341,3072.0
ligand_ohe,iid_matched,8,8,True,True,mean_split_metrics,0.8958850204300034,9.674176230898855,7.149264941237705,0.7752163248712318,3.7047816982980173,8.72856430949611,0.01938492677392739,0.06781001513173511,0.5374348958333334,11.774654321364931,0.7942708333333333,22.372210511582924,0.9215494791666667,34.2153433667082,
ligand_ohe,iid_matched,8,8,True,True,pooled_predictions,0.8964068516832939,9.686411217592546,7.149264941237704,0.7746191064965505,3.7047816982980173,8.72856430949611,0.011330574463696362,0.05064832790277564,0.5374348958333334,11.77465432136493,0.7942708333333334,22.372210511582924,0.9215494791666666,34.215343366708204,3072.0
ligand_ohe,kfold,5,5,True,True,mean_split_metrics,0.8932994271772554,9.811362240420332,7.249897719332694,0.771725329293649,3.7137152525191164,8.945242468345963,0.02151758021595438,0.036291213817073315,0.5374354492730595,12.0669487158361,0.8079457641481952,22.92757897896963,0.9277397314689757,35.06470614187252,
ligand_ohe,kfold,5,5,True,True,pooled_predictions,0.8936255657731184,9.81558114813813,7.249936131815557,0.7718756705414236,3.713716554734507,8.945238504276546,0.010992290635313528,0.03071005181379337,0.5374348958333334,12.066943368387719,0.8079427083333334,22.927568818650894,0.927734375,35.06469060300594,3072.0
ligand_ohe,holdout,1,1,True,True,mean_split_metrics,0.8843876857083162,10.058045480246635,7.388119091952371,0.7613649923331889,3.744962663859588,8.896251826464058,0.02154391048860983,0.0790367612843183,0.5398373983739837,12.000861344226353,0.8016260162601626,22.80201091136805,0.9138211382113821,34.872666354536456,
ligand_ohe,holdout,1,1,True,True,pooled_predictions,0.8843876857083162,10.058045480246635,7.388119091952371,0.7613649923331889,3.744962663859588,8.896251826464058,0.02154391048860983,0.0790367612843183,0.5398373983739837,12.000861344226353,0.8016260162601626,22.80201091136805,0.9138211382113821,34.872666354536456,615.0
selected_5,lolo,8,8,True,True,mean_split_metrics,0.4553963151836861,21.217371025767356,18.60908078872281,0.6546594211830887,4.4967529533535755,24.711474177169798,0.10028968131188118,-0.005094528510223585,0.4781901041666667,33.33527208947236,0.8714192708333334,63.33805683733383,0.9837239583333333,96.86719878428873,
selected_5,lolo,8,8,True,True,pooled_predictions,0.45410954117046565,22.2356658034736,18.60908078872281,0.5054821029611345,4.4967529533535755,24.711474177169794,0.02282371596534653,0.4436817315241291,0.4781901041666667,33.33527208947236,0.8714192708333334,63.33805683733383,0.9837239583333334,96.86719878428873,3072.0
selected_5,iid_matched,8,8,True,True,mean_split_metrics,0.8898927648990123,9.955387805989929,7.4566698803370395,0.7668014877617713,3.7665781483982896,9.158171581007032,0.017120333127062706,0.012022046980434709,0.5302734375,12.354185723852574,0.7906901041666667,23.473338254331257,0.9195963541666667,35.89937292602406,
selected_5,iid_matched,8,8,True,True,pooled_predictions,0.8903564969796258,9.9652646636597,7.4566698803370395,0.7658451997293965,3.7665781483982896,9.158171581007032,0.009787412334983495,0.009167064124829412,0.5302734375,12.354185723852575,0.7906901041666666,23.473338254331264,0.9195963541666666,35.89937292602406,3072.0
selected_5,kfold,5,5,True,True,mean_split_metrics,0.8821368118379931,10.314283568645799,7.613667135026313,0.7590692009139748,3.791119997156508,9.380789157150062,0.019427045715614703,0.015497947097253767,0.5358067847779455,12.654492270496515,0.7897153147427239,24.04393006077895,0.9202499933794126,36.772017789155946,
selected_5,kfold,5,5,True,True,pooled_predictions,0.8824591846031187,10.317910011155444,7.613658920259874,0.758996362395979,3.7911256481663416,9.380759879634441,0.012051232466996697,0.014367079435939728,0.5358072916666666,12.654452775728117,0.7897135416666666,24.043855019486994,0.9202473958333334,36.77190302340359,3072.0
