task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,state,error
0,ligand_ohe,split_000,lolo,AmPhos,0,0,,2688,384,42,completed,
1,ligand_ohe,split_001,lolo,CataCXium A,0,1,,2688,384,42,completed,
2,ligand_ohe,split_002,lolo,P(Cy)3,0,2,,2688,384,42,completed,
3,ligand_ohe,split_003,lolo,P(Ph)3,0,3,,2688,384,42,completed,
4,ligand_ohe,split_004,lolo,P(o-Tol)3,0,4,,2688,384,42,completed,
5,ligand_ohe,split_005,lolo,P(tBu)3,0,5,,2688,384,42,completed,
6,ligand_ohe,split_006,lolo,SPhos,0,6,,2688,384,42,completed,
7,ligand_ohe,split_007,lolo,XPhos,0,7,,2688,384,42,completed,
8,ligand_ohe,split_008,iid_matched,,0,0,2110739950.0,2688,384,42,completed,
9,ligand_ohe,split_009,iid_matched,,0,1,2110739950.0,2688,384,42,completed,
10,ligand_ohe,split_010,iid_matched,,0,2,2110739950.0,2688,384,42,completed,
11,ligand_ohe,split_011,iid_matched,,0,3,2110739950.0,2688,384,42,completed,
12,ligand_ohe,split_012,iid_matched,,0,4,2110739950.0,2688,384,42,completed,
13,ligand_ohe,split_013,iid_matched,,0,5,2110739950.0,2688,384,42,completed,
14,ligand_ohe,split_014,iid_matched,,0,6,2110739950.0,2688,384,42,completed,
15,ligand_ohe,split_015,iid_matched,,0,7,2110739950.0,2688,384,42,completed,
16,ligand_ohe,split_016,kfold,,0,0,42.0,2457,615,42,completed,
17,ligand_ohe,split_017,kfold,,0,1,42.0,2457,615,42,completed,
18,ligand_ohe,split_018,kfold,,0,2,42.0,2458,614,42,completed,
19,ligand_ohe,split_019,kfold,,0,3,42.0,2458,614,42,completed,
20,ligand_ohe,split_020,kfold,,0,4,42.0,2458,614,42,completed,
21,ligand_ohe,split_021,holdout,,0,0,42.0,2457,615,42,completed,
22,selected_5,split_000,lolo,AmPhos,0,0,,2688,384,42,completed,
23,selected_5,split_001,lolo,CataCXium A,0,1,,2688,384,42,completed,
24,selected_5,split_002,lolo,P(Cy)3,0,2,,2688,384,42,completed,
25,selected_5,split_003,lolo,P(Ph)3,0,3,,2688,384,42,completed,
26,selected_5,split_004,lolo,P(o-Tol)3,0,4,,2688,384,42,completed,
27,selected_5,split_005,lolo,P(tBu)3,0,5,,2688,384,42,completed,
28,selected_5,split_006,lolo,SPhos,0,6,,2688,384,42,completed,
29,selected_5,split_007,lolo,XPhos,0,7,,2688,384,42,completed,
30,selected_5,split_008,iid_matched,,0,0,2110739950.0,2688,384,42,completed,
31,selected_5,split_009,iid_matched,,0,1,2110739950.0,2688,384,42,completed,
32,selected_5,split_010,iid_matched,,0,2,2110739950.0,2688,384,42,completed,
33,selected_5,split_011,iid_matched,,0,3,2110739950.0,2688,384,42,completed,
