model,method,n_folds,device,run_time_sec,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,nll_mean,nll_std,ece_mean,ece_std,cdf_ama_mean,cdf_ama_std,cvpp_ama_mean,cvpp_ama_std,Cv_mean,Cv_std,sharpness_mean,sharpness_std,RUSC_mean,RUSC_std,n,pooled_r2,pooled_rmse,pooled_mae
ligand_ohe,iid_stratified_4,4,cuda,81.469,0.909252657232785,0.007603941890490472,8.210807830768436,0.38121507157687967,5.956145206195683,0.10933677563616809,3.743660121700634,0.008782161627029878,0.1002893160801202,0.0034146556907373015,0.105565472318626,0.0046782768277444774,0.20429279258073627,0.004559843122616707,0.019577390048652887,0.00032881259978873706,14.27860403060913,0.13976056802422107,0.010013352335700632,0.03529638209351741,3955,0.9092652350983673,8.219675119120813,5.956132715035596
ligand_ohe,kfold_5,5,cuda,101.075,0.9113016299179867,0.006971836232073822,8.109150305752035,0.20947042442765093,5.934829299372322,0.0717698249199047,3.7391666814469895,0.0050994204599699375,0.09955752212389381,0.001587090247936809,0.10405810106842257,0.004313103735184478,0.20412557943531393,0.003537072758182918,0.019832485169172288,0.0006997820128936113,14.279300308227539,0.08352708342650131,0.025849128957452283,0.05311507462050605,3955,0.9116300103075474,8.111855308127003,5.934829299372323
ligand_ohe,kfold_stratified_5,5,cuda,98.879,0.9115382356569247,0.007933640327679898,8.105884248849906,0.40305199961485366,5.914778483543387,0.1633781310190168,3.739822248264203,0.011709458324206052,0.10049304677623261,0.0034526006829738707,0.10264237507775191,0.0037119409106507488,0.205802781289507,0.00617136286226356,0.020781764388084413,0.0010140777009885523,14.276955032348633,0.09505553041236975,-0.009165203284284534,0.03432852428810895,3955,0.9115418932871491,8.115898617537464,5.914778483543387
ligand_ohe,lolo,4,cuda,84.131,0.32156409993220714,0.8386638649958675,15.660449595866824,5.988823290778459,11.675932666603295,4.346873228062936,4.223846414221816,0.41871707794952473,0.15913545051459677,0.06347696469289608,0.16018904474497075,0.0643192933506269,0.10525505442224238,0.037304080417092496,0.04701567068696022,0.005142817653496739,15.86024022102356,0.4084022267398463,0.0062924064377615375,0.04892342807975028,3955,0.6223532096241075,16.769136208488145,11.676965698556307
pc_scores,iid_stratified_4,4,cuda,79.964,0.8870369819516026,0.006238607278516941,9.164744253380086,0.28628363406202534,6.612772894208183,0.0430778065133697,3.8408099638951576,0.005299444186456562,0.09942993884142573,0.002852670732198211,0.10004318174991639,0.001343506250883896,0.19950562803524324,0.0032167836323696583,0.07995216362178326,0.0016194509031882591,15.610316276550293,0.17448176487542358,-0.034213454989775474,0.06099139929683417,3955,0.887090529524413,9.169232364684898,6.612758624969792
pc_scores,kfold_5,5,cuda,98.88,0.887594697353903,0.01173925160494443,9.12118278785541,0.33738534637274925,6.590772465237308,0.09227210127498646,3.837521315601432,0.012644413083394755,0.09733249051833123,0.0020874606766675442,0.09992621608017299,0.0021351581030285647,0.19901812052254528,0.004204405256344111,0.08466531783342361,0.003337007091549572,15.58023796081543,0.10978041783394517,-0.024838444342012468,0.034681707223109884,3955,0.8881179210379416,9.127420463713548,6.590772465237309
pc_scores,kfold_stratified_5,5,cuda,99.423,0.8892706760447421,0.007308928974967406,9.072187706060534,0.33465787630948457,6.566486560378874,0.12550414182988767,3.835752941227136,0.010470620084991259,0.09829329962073326,0.003217191677353723,0.10588003040376545,0.008683064781625241,0.20008849557522126,0.004440971314686523,0.08208132088184357,0.0014765056233957455,15.557262992858886,0.07989235209144144,-0.044238792088013554,0.03680561064825058,3955,0.8893174816503657,9.078358093189092,6.566486560378873
pc_scores,lolo,4,cuda,88.58,-0.06185720383817045,0.6309932600716288,23.71684751969592,6.677844124538676,20.305817169480715,5.983743698710861,4.637458828385775,0.2079490380290722,0.10894478246927194,0.05781841209863108,0.09956384739966533,0.05522922434428852,0.0940776689478638,0.0639298594521607,0.0030463536693758897,0.005257027569195586,29.73797845840454,2.797803215110495,,,3955,0.18496330082932977,24.635216060295352,20.303074743484725
pc_top,iid_stratified_4,4,cuda,78.912,0.8640328026731753,0.006436933978291394,10.055865879202905,0.28478069072902973,7.2910571767924415,0.06903488843286011,3.939440094713599,0.00553856361060963,0.099607038762419,0.003041544110079512,0.10042378520794987,0.0024181607045045597,0.2009894432550225,0.0034802609347526414,0.06808331422507763,0.0033594292470989534,17.322243690490723,0.14688610500383298,-0.004594643891155237,0.07976834096244273,3955,0.8640897330043052,10.059906080668256,7.291041876711466
pc_top,kfold_5,5,cuda,98.614,0.8644301012677744,0.014249705386930064,10.016402917966271,0.35097234662595056,7.279103998039186,0.11860615390290093,3.9389816809061147,0.012037230100043672,0.09791403286978509,0.0020494446654017143,0.10064783957947188,0.002853439280416112,0.19945638432364093,0.005135614220275622,0.06915918514132499,0.004137129413911214,17.25369644165039,0.12712311474444385,-0.0409403353422824,0.023360115711063698,3955,0.865097226506653,10.022550024975647,7.2791039980391865
pc_top,kfold_stratified_5,5,cuda,97.769,0.8662870964872951,0.007452246235942538,9.97084279603355,0.32165820518571886,7.249995699895412,0.12614737417019523,3.9358356008192743,0.009253211540903401,0.0979898862199747,0.003133232075784517,0.10271344706083115,0.002743629283192588,0.20077960387694901,0.004820651318568304,0.06771143004298211,0.0035820751978843895,17.231447982788087,0.06300741330207753,-0.05632640571001087,0.020443096943366778,3955,0.8663466383313265,9.976029774623642,7.249995699895412
pc_top,lolo,4,cuda,82.685,-0.18423827439507953,0.48695006203364144,26.45257509783532,2.8269549871984965,22.76403736747118,2.357986681677031,4.70424322689943,0.09668296855047477,0.0999923689856767,0.06394081754877597,0.09245248890144757,0.06262436665170423,0.05876505989360472,0.015132459989558363,0.000439400336118112,0.0007604729807836325,28.204078674316406,1.4909902694089028,,,3955,0.049737609171009445,26.60048554363646,22.762193480560267
rxnpredict_full,iid_stratified_4,4,cuda,79.458,0.8911441433250658,0.004045928854494595,8.998210184173436,0.199968878911481,6.5635537347402515,0.1980720761892299,3.9595723030424317,0.0021355484927410868,0.12087105426902406,0.003676203072136364,0.12200474182035628,0.0047305200689743455,0.24483091844295346,0.00897301226431966,0.11527158133685589,0.0018447149827034391,18.829051971435547,0.11093453717836185,0.13671972458449197,0.030643148746035694,3955,0.891209954768957,9.000411626558734,6.563493647806295
rxnpredict_full,kfold_5,5,cuda,97.602,0.8964685475304268,0.010082919761357596,8.75465283950799,0.2288005160110087,6.441451781890565,0.09659184247800406,3.9550622126178636,0.0049821621872724875,0.12104930467762325,0.0027547289405744253,0.12203045088739524,0.002537975064485509,0.24736198904340495,0.003694914811063549,0.11406627893447877,0.004223444566156886,18.80424575805664,0.16053165925526847,0.10865440075028962,0.02274024394690577,3955,0.8969996254714293,8.757642149370582,6.441451781890565
rxnpredict_full,kfold_stratified_5,5,cuda,100.385,0.898531111754586,0.01006218800741548,8.675339781775438,0.37954032055487036,6.381103762872074,0.24447655899715645,3.952740246093236,0.006956959688049093,0.12142857142857141,0.0052643900919486794,0.12362884386029727,0.0042605937885215476,0.25027812895069534,0.009654503790194382,0.11419238597154617,0.001433488384525076,18.817232131958008,0.11986092715702593,0.12366521247877316,0.03217874637802965,3955,0.8987330226240973,8.683638130655975,6.3811037628720735
rxnpredict_full,lolo,4,cuda,86.901,-0.27972764342565987,0.40081181484922185,27.965979594743665,2.053248591311727,24.07814426447747,1.43938760530344,4.768673044715267,0.08313206618409365,0.10805981901061243,0.06116169190176507,0.10531542946084958,0.0616553990432431,0.09340254237940657,0.016676680214714273,5.513492610020876e-06,9.338805444291e-06,25.725844383239746,1.086222206976351,,,3955,-0.055812104959622744,28.038909042923628,24.076539019917377
rxnpredict_full_ohe,iid_stratified_4,4,cuda,78.765,0.897071776566147,0.004262958220354206,8.749652035312947,0.22060383212497323,6.367041764047379,0.20737250993544457,3.8993583850347915,0.0025910482623627573,0.11682523446166945,0.0043637136174901675,0.1176234195750126,0.004665038593889453,0.2364363088439774,0.00948312450442392,0.10245705395936966,0.001929846442820859,17.543052196502686,0.11440629126400158,0.14729475157662256,0.030587062844773704,3955,0.897122648010034,8.752410570011902,6.3669808804164605
