model,method,completed_fits,expected_fits,complete_method,run_complete,aggregation,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_test
ligand_ohe,lolo,8,8,True,True,mean_split_metrics,0.5859052065582842,18.33059582112821,13.337623118882377,0.6242270881140147,4.4070960824779934,14.908090884486834,0.08702892945544555,0.06317951326869527,0.5325520833333334,20.110708993156017,0.765625,38.210974424590574,0.8929036458333334,58.43864242368815,
ligand_ohe,lolo,8,8,True,True,pooled_predictions,0.6172175895016307,18.61972972690829,13.337623118882377,0.5951538725002906,4.4070960824779934,14.908090884486834,0.021752526815181517,0.024281883517402913,0.5325520833333334,20.110708993156013,0.765625,38.210974424590574,0.8929036458333334,58.438642423688144,3072.0
ligand_ohe,iid_matched,8,8,True,True,mean_split_metrics,0.9086413798186039,9.077503361009157,6.658167723069588,0.7892921549520509,3.891326772616273,16.90345327090472,0.10791679558580856,-0.0035972047163772124,0.8212890625,22.80241194828733,0.9703776041666667,43.32529400487588,0.99609375,66.26031925065806,
ligand_ohe,iid_matched,8,8,True,True,pooled_predictions,0.9087727233744303,9.08991330878356,6.658167723069589,0.7871999016725346,3.891326772616273,16.90345327090472,0.10730262479372937,-0.015100482599664641,0.8212890625,22.80241194828733,0.9703776041666666,43.32529400487588,0.99609375,66.26031925065804,3072.0
ligand_ohe,kfold,5,5,True,True,mean_split_metrics,0.9052515436941613,9.249884046798341,6.856003148515612,0.7844786909684904,3.8985783274279875,16.95153118657799,0.10414437652552097,-0.017711301477320748,0.8121797621885014,22.867268070952157,0.9703784327745557,43.448522661074286,0.9954429172956225,66.4487812170008,
ligand_ohe,kfold,5,5,True,True,pooled_predictions,0.9054014689771119,9.2563460512769,6.856026891246439,0.7832868782526614,3.898579748625624,16.95150411874056,0.10350917904290428,-0.03053284720505615,0.8121744791666666,22.867231556994337,0.9703776041666666,43.44845328341541,0.9954427083333334,66.44867511302776,3072.0
selected_5,lolo,8,8,True,True,mean_split_metrics,0.52528897049746,19.678124908378056,16.68707340920965,0.6568731153051209,4.465764879799028,26.06247269983093,0.1099538469471947,-0.08952902266952734,0.6106770833333333,35.15774140160232,0.9117838541666666,66.80080538086347,0.9869791666666667,102.16301567945402,
selected_5,lolo,8,8,True,True,pooled_predictions,0.5267795033002752,20.702803485823495,16.68707340920965,0.5321273108559877,4.465764879799028,26.06247269983093,0.041248710808580856,0.41045155338826844,0.6106770833333334,35.15774140160232,0.9117838541666666,66.80080538086348,0.9869791666666666,102.16301567945402,3072.0
selected_5,iid_matched,8,8,True,True,mean_split_metrics,0.903701601582036,9.320717389972332,6.844421831220389,0.7821351996484875,3.943732348764059,17.980008337336283,0.11105468749999999,-0.06304285629514089,0.830078125,24.25466266394683,0.9739583333333333,46.08461566643656,0.9951171875,70.48033756581802,
selected_5,iid_matched,8,8,True,True,pooled_predictions,0.9038610589491325,9.331405307260127,6.844421831220388,0.7810769936057598,3.9437323487640596,17.980008337336283,0.1104095761138614,-0.0667523129623666,0.830078125,24.254662663946828,0.9739583333333334,46.084615666436555,0.9951171875,70.48033756581803,3072.0
